time,x,y,z
10005,-1.992,-10.094,0.517
10015,-1.992,-9.864,0.287
10025,-2.068,-9.787,0.287
10036,-2.068,-9.634,0.21
10045,-2.068,-9.634,0.21
10055,-1.992,-9.711,0.44
10066,-1.762,-9.864,0.363
10075,-1.915,-9.864,0.21
10085,-1.838,-9.864,0.44
10096,-1.838,-9.864,0.44
10105,-1.915,-9.711,0.517
10116,-1.915,-9.864,0.44
10125,-1.915,-9.787,0.287
10135,-1.992,-9.787,0.21
10145,-1.992,-9.941,0.21
10155,-1.992,-9.941,0.057
10168,-2.145,-9.864,0.44
10175,-1.992,-9.787,0.517
10185,-1.838,-9.787,0.363
10196,-1.992,-9.634,0.44
10205,-2.068,-9.557,0.21
10215,-2.145,-9.481,0.363
10226,-2.298,-9.404,0.363
10235,-2.298,-9.328,0.363
10245,-2.375,-9.404,0.517
10255,-2.681,-9.328,0.517
10266,-3.371,-8.638,0.747
10275,-2.681,-9.941,0.823
10285,-2.528,-10.324,0.823
10295,-2.758,-11.013,2.432
10305,-1.915,-11.243,1.666
10315,-1.072,-12.392,0.976
10326,-2.298,-11.55,-0.708
10335,-1.608,-9.174,-0.249
10345,-1.072,-9.251,0.593
10356,-1.455,-9.098,1.589
10365,-1.455,-9.098,1.589
10375,-2.681,-9.634,-0.095
10385,-2.834,-10.094,-0.708
10395,-2.758,-10.17,-0.325
10405,-2.834,-10.094,1.13
10416,-2.681,-10.247,1.743
10425,-2.604,-10.324,1.206
10435,-2.451,-10.324,0.9
10445,-2.375,-10.17,1.053
10456,-2.451,-10.017,1.053
10465,-2.451,-9.941,0.9
10475,-2.375,-9.941,0.976
10485,-2.375,-9.864,1.053
10495,-2.375,-9.711,1.206
10505,-2.375,-9.634,1.13
10516,-2.375,-9.481,0.976
10525,-2.451,-9.328,0.9
10535,-2.681,-9.404,1.053
10545,-2.681,-9.481,1.13
10555,-2.681,-9.634,1.436
10565,-2.911,-9.481,1.513
10575,-2.834,-9.481,1.666
10585,-2.681,-9.404,2.126
10595,-2.988,-9.021,2.432
10605,-2.834,-9.098,2.355
10615,-2.911,-8.868,2.662
10626,-2.911,-8.791,2.968
10635,-2.758,-8.715,3.198
10645,-3.294,-9.328,2.815
10656,-3.371,-9.098,2.892
10665,-2.528,-8.025,4.271
10675,-3.294,-8.025,4.194
10685,-3.064,-8.102,3.735
10696,-2.911,-8.178,3.581
10705,-3.294,-8.408,3.505
10715,-3.524,-8.638,3.275
10725,-4.75,-9.251,3.198
10735,-4.826,-9.481,3.275
10746,-5.056,-10.094,3.045
10755,-4.826,-11.933,1.819
10766,-3.601,-11.32,2.279
10775,-3.064,-10.17,2.968
10785,-2.758,-9.481,3.122
10796,-2.834,-9.174,3.275
