time,x,y,z
10001,2.145,-12.546,1.206
10012,1.149,-13.235,1.436
10021,-0.996,-14.308,4.271
10031,-4.137,-15.687,0.057
10041,-5.746,-14.997,-4.692
10052,-6.589,-13.771,-6.838
10061,-5.746,-13.005,-5.765
10071,-2.758,-13.465,-1.628
10082,-1.072,-13.465,0.823
10091,0.383,-13.618,3.658
10101,0.996,-13.925,3.045
10112,-0.229,-12.699,0.593
10121,-0.229,-12.469,-0.402
10131,-2.298,-10.707,-1.551
10141,-0.919,-10.783,-1.781
10152,-1.302,-10.094,-2.164
10161,-1.072,-9.634,-2.087
10171,-1.608,-8.332,-1.015
10182,-1.915,-7.642,-0.555
10191,-1.915,-7.029,-0.785
10201,-1.532,-6.723,-1.628
10212,-1.149,-6.416,-2.087
10221,-1.225,-6.186,-2.164
10232,-0.996,-6.263,-2.317
10241,-1.225,-6.11,-2.394
10252,-1.762,-5.497,-2.777
10261,-1.838,-4.884,-2.624
10271,-1.532,-4.424,-2.087
10281,-1.838,-4.118,-1.628
10291,-2.145,-3.428,-1.091
10301,-1.992,-3.122,-0.632
10312,-1.838,-3.428,0.976
10321,-1.685,-3.658,1.436
10331,-1.455,-4.118,2.585
10341,-0.996,-6.569,5.344
10351,0,-9.328,7.719
10362,2.221,-14.155,12.469
10371,2.911,-17.219,15.763
10389,4.826,-20.59,15.687
10391,4.826,-20.59,15.687
10401,4.903,-13.312,10.247
10411,2.375,-9.864,8.945
10422,-0.612,-7.336,5.65
10431,-1.992,-6.799,3.275
10441,-3.217,-6.953,0.823
10451,-4.29,-7.872,-0.555
10462,-5.286,-9.864,-0.708
10471,-4.75,-13.388,0.747
10481,-3.217,-15.074,2.279
10491,-0.612,-17.066,4.577
10501,1.149,-18.292,5.344
10512,3.064,-15.304,1.666
10521,1.455,-8.561,-4.846
10531,-0.459,-5.956,-6.378
10542,-3.141,-4.731,-6.225
10551,-3.754,-5.267,-3.926
10561,-2.298,-6.34,-3.62
10571,-0.996,-8.178,-3.543
10582,0.612,-10.17,-4.846
10591,2.451,-11.779,-4.846
10601,3.754,-13.465,-3.773
10612,4.52,-13.848,-1.628
10621,2.988,-11.55,0.747
10631,1.915,-10.17,1.513
10642,0.076,-8.255,1.436
10651,-0.536,-7.872,0.517
10661,-0.842,-7.872,-0.249
10672,-1.072,-8.025,-0.632
10681,-1.072,-8.561,-1.015
10691,-0.383,-9.481,-1.474
