time,x,y,z
20008,-3.83,9.443,1.513
20018,-3.83,9.443,1.513
20029,-3.524,9.213,1.513
20040,-2.834,8.983,1.589
20048,-2.834,8.983,1.589
20058,-2.451,8.83,1.589
20067,-2.145,8.523,1.589
20078,-2.145,8.523,1.589
20087,-2.375,7.834,1.513
20097,-2.375,7.834,1.513
20107,-2.528,7.221,1.436
20117,-2.375,6.531,1.513
20128,-2.145,6.608,1.743
20137,-1.762,6.838,1.896
20147,-1.379,6.991,2.279
20157,-1.532,6.991,2.585
20167,-2.298,6.914,3.198
20177,-3.677,7.144,3.811
20187,-4.137,7.604,3.811
20197,-4.52,8.6,3.122
20208,-4.367,9.443,2.815
20217,-4.29,10.515,2.815
20227,-4.903,11.052,2.739
20237,-6.435,11.052,2.049
20247,-6.818,10.132,1.819
20257,-6.359,8.83,1.589
20267,-5.593,8.447,0.9
20277,-5.209,7.834,0.134
20287,-4.98,7.374,-0.249
20298,-3.601,6.531,-0.095
20307,-2.451,5.918,0.21
20317,-0.766,5.152,0.9
20327,0.383,4.922,0.976
20337,1.838,4.999,0.134
20347,2.451,5.229,-0.861
20357,2.988,5.842,-0.938
20368,3.064,7.067,0.287
20377,2.604,8.293,0.747
20387,1.149,10.592,1.206
20397,0.076,11.971,1.819
20408,-1.915,14.499,0.976
20417,-3.601,16.645,0.823
20427,-5.976,18.943,1.589
20437,-7.278,18.79,0.9
20447,-9.423,16.185,-8.37
20457,-9.117,13.197,-7.834
20467,-6.665,8.063,-1.091
20477,-5.899,6.454,3.888
20487,-4.98,2.241,5.267
20498,-4.597,0.632,4.424
20507,-3.984,4.999,5.114
20517,-3.524,7.374,5.344
20527,-3.677,8.906,5.267
20537,-3.294,9.059,5.497
20547,-2.988,9.059,5.19
20557,-2.988,9.059,3.505
20568,-2.681,8.753,2.509
20577,-2.298,8.217,1.513
20587,-2.068,7.91,1.359
20599,-2.068,7.91,1.359
20607,-1.838,7.451,1.896
20617,-1.838,6.914,3.505
20628,-1.762,6.608,4.041
20639,-1.685,6.378,4.348
20648,-1.685,6.378,4.348
20657,-1.685,6.301,3.811
20668,-1.608,6.225,3.811
20677,-1.455,6.225,3.811
20687,-1.455,6.225,3.811
20698,-1.455,6.301,3.735
20707,-2.451,6.225,4.041
20717,-2.451,6.225,4.041
20727,-3.294,6.071,3.964
20738,-5.056,7.144,4.118
20747,-6.129,8.063,3.811
20757,-6.665,8.753,3.275
20767,-6.129,9.749,2.815
20778,-4.903,10.285,2.049
20787,-3.294,11.588,2.279
20797,-2.988,12.737,3.428
20807,-3.907,14.653,5.497
20817,-4.903,15.265,6.263
20827,-6.435,14.04,6.493
20838,-6.129,11.971,5.956
20847,-3.601,9.289,4.271
20857,-1.838,8.906,2.509
20867,-1.532,9.902,0.363
20877,-2.221,10.515,-0.249
20888,-2.221,10.515,-0.249
20897,-1.762,7.221,-2.241
20907,-1.762,7.221,-2.241
20917,-3.064,6.301,-0.708
20927,-3.064,6.301,-0.708
20938,-3.371,7.144,-0.708
20948,-3.371,7.144,-0.708
20957,-2.834,7.91,-2.47
20967,-2.834,7.91,-2.47
20977,-2.758,8.83,-2.93
20987,-1.915,9.749,-1.628
20998,-0.306,10.285,0.44
21008,-0.306,10.285,0.44
21017,2.068,9.672,1.819
21027,1.915,8.676,2.049
21037,-0.076,7.221,3.198
21047,-0.612,6.531,4.118
21057,-0.842,6.071,3.964
21067,-0.842,5.918,3.352
21077,-1.302,5.918,2.202
21088,-1.685,6.378,1.513
21097,-1.685,6.378,1.513
21107,-2.834,8.447,0.363
21117,-2.834,8.447,0.363
21127,-3.677,9.902,0.976
21138,-3.984,10.132,1.359
21147,-3.984,9.979,1.972
21157,-4.06,9.672,2.355
21167,-4.213,8.753,2.432
21177,-4.213,8.14,2.432
21187,-3.984,7.68,2.126
21197,-3.754,7.527,2.049
21208,-3.447,7.834,1.819
21217,-3.294,8.14,1.743
21227,-3.141,8.14,1.589
21237,-3.371,8.14,1.436
21247,-3.371,8.14,1.436
21257,-3.677,7.987,1.206
21268,-3.677,7.987,1.206
21278,-3.141,7.91,2.355
21287,-3.141,7.91,2.355
21297,-2.604,7.527,3.888
21307,-2.451,6.838,4.041
21317,-2.451,5.765,3.352
21327,-2.681,5.229,2.892
21338,-3.524,5.612,2.126
21347,-4.52,6.454,1.666
21357,-5.286,8.6,1.436
21367,-5.593,9.979,1.743
21377,-5.822,10.822,2.049
21387,-6.512,10.822,1.896
21397,-7.508,9.979,1.053
21407,-7.585,8.983,1.053
21417,-6.359,7.91,1.283
21428,-5.822,7.297,1.13
21437,-4.826,6.454,0.287
21447,-3.601,5.918,-0.095
21457,-1.379,5.535,0.593
21467,0.459,5.918,1.13
21478,1.379,6.454,0.67
21487,1.992,7.144,-0.555
21497,1.762,7.527,-0.708
21507,1.455,8.293,0.44
21517,1.149,9.289,1.206
21527,1.149,9.289,1.206
21537,-0.612,13.35,0.67
21560,-0.612,13.35,0.67
21572,-7.738,17.181,-0.861
21577,-7.585,16.185,-2.547
21587,-5.133,12.277,-4.692
21597,-3.677,8.906,-2.087
21608,-3.141,5.612,3.275
21617,-3.371,4.692,4.348
21627,-1.838,1.781,1.972
21637,-1.379,2.394,1.666
21647,-1.302,6.684,3.581
21657,-1.532,8.14,4.348
21667,-1.608,8.983,4.271
21678,-1.992,9.519,4.194
