time,x,y,z
13002,3.754,-4.731,-1.091
13013,3.754,-4.731,-1.091
13022,4.137,-3.352,-1.704
13033,4.137,-3.352,-1.704
13042,4.06,-3.352,-2.164
13052,3.754,-3.045,-2.624
13063,2.528,-2.355,-2.777
13072,2.528,-2.355,-2.777
13083,1.762,-2.126,-2.011
13092,1.762,-2.126,-2.011
13102,1.838,-2.968,-1.321
13113,1.838,-2.968,-1.321
13122,1.838,-4.118,-0.019
13133,1.915,-5.42,1.283
13142,1.302,-8.332,4.807
13152,0.996,-11.09,7.719
13163,-1.992,-21.586,11.55
13172,-1.992,-21.586,11.55
13183,-4.29,-26.643,11.32
13192,-3.447,-29.478,15.151
13202,1.838,-15.763,14.921
13213,1.838,-15.763,14.921
13222,3.601,-7.182,7.182
13232,5.056,-3.888,3.275
13243,4.52,-2.202,-2.547
13252,4.52,-2.202,-2.547
13263,2.758,-5.956,-5.918
13272,2.758,-5.956,-5.918
13283,6.205,-11.626,-4.079
13292,8.887,-17.219,-2.317
13302,8.121,-25.57,1.972
13312,8.121,-25.57,1.972
13323,1.915,-16.376,12.162
13332,1.915,-16.376,12.162
13343,-1.915,-6.033,-3.466
13352,-1.915,-6.033,-3.466
13362,-1.072,-3.735,-11.511
13372,0.459,-2.585,-13.427
13383,1.762,-2.049,-10.592
13392,1.762,-2.049,-10.592
13403,4.673,-8.485,-3.696
13412,4.673,-8.485,-3.696
13423,0.842,-12.622,-2.7
13432,0.842,-12.622,-2.7
13443,-6.665,-14.997,0.057
13452,-6.665,-14.997,0.057
13462,-7.891,-12.469,3.735
13473,-4.137,-10.937,4.424
13482,-0.076,-10.017,4.348
13492,2.988,-9.634,5.19
13503,3.141,-9.404,4.884
13512,4.213,-8.561,-0.325
13523,3.294,-7.106,-3.083
13532,2.528,-7.029,-3.543
13542,4.06,-8.561,0.21
13553,4.213,-9.404,0.44
13562,2.604,-10.017,0.517
13572,1.532,-9.787,0.517
13583,1.685,-9.864,0.287
13592,1.685,-9.864,0.287
13602,1.992,-10.017,0.44
13613,2.145,-10.017,0.21
13623,2.681,-10.094,-0.861
13632,2.681,-10.094,-0.861
13642,2.604,-10.783,-0.555
13653,2.145,-11.32,-0.249
13662,0.689,-12.086,1.589
13672,-0.459,-12.162,2.202
13682,-2.145,-12.086,2.968
13692,-3.294,-11.779,2.126
13702,-3.294,-11.473,0.747
13712,-2.988,-10.477,-0.861
13722,-1.915,-10.017,-0.938
13732,-0.076,-10.937,0.287
13742,-1.302,-13.542,-0.861
13753,0.612,-14.001,1.513
13762,1.532,-14.384,2.126
13772,2.221,-14.078,3.428
