time,x,y,z
41007,1.379,-10.017,1.896
41018,1.379,-10.017,1.896
41027,1.225,-10.17,2.355
41038,1.149,-10.094,2.509
41047,1.072,-9.864,2.585
41057,1.072,-9.864,2.585
41068,1.072,-9.864,2.585
41077,1.302,-9.787,2.509
41087,1.455,-9.711,2.509
41098,1.455,-9.711,2.509
41107,1.838,-9.941,2.815
41117,2.068,-10.247,3.045
41128,2.298,-10.4,3.275
41137,2.298,-10.4,3.275
41148,2.758,-10.247,3.198
41157,2.758,-10.247,3.198
41167,2.988,-9.864,3.198
41178,2.911,-9.711,3.198
41187,2.988,-9.557,3.045
41197,2.988,-9.481,2.355
41208,2.988,-9.634,2.202
41217,2.758,-9.711,2.279
41228,2.375,-9.864,2.049
41237,2.145,-9.864,2.126
41247,1.915,-9.941,2.279
41258,1.685,-9.941,2.355
41267,1.455,-9.864,2.585
41278,1.302,-9.634,2.815
41288,1.149,-9.098,3.275
41297,1.149,-9.098,3.275
41308,0.996,-8.485,3.581
41317,0.996,-8.485,3.581
41327,0.842,-8.561,3.658
41338,0.842,-8.561,3.658
41347,0.0,-8.638,3.275
41358,-0.076,-8.791,3.045
41368,-0.536,-8.715,3.198
41377,-0.536,-8.715,3.198
41387,0.0,-9.557,3.658
41397,-0.229,-9.711,4.041
41408,0.306,-10.247,4.271
41417,0.306,-10.247,4.271
41427,0.842,-10.094,4.654
41439,1.302,-9.711,4.731
41447,1.455,-9.328,4.577
41457,1.838,-9.251,4.194
41468,2.221,-9.174,3.964
41477,2.834,-9.251,3.428
41488,3.217,-8.945,3.275
41497,3.294,-8.638,3.352
41507,3.064,-8.485,3.428
41519,2.451,-8.332,3.505
41527,2.145,-8.485,3.428
41537,1.608,-8.408,3.581
41548,0.996,-8.332,3.811
41557,0.689,-8.332,4.041
41567,0.383,-8.408,4.271
41578,0.229,-8.408,4.501
41587,0.229,-8.408,4.501
41597,-0.076,-8.408,4.884
41607,-0.306,-8.178,5.037
41618,-0.306,-8.178,5.037
41627,-0.383,-8.025,5.114
41637,-0.306,-7.949,5.114
41649,-0.229,-7.795,5.037
41659,-0.229,-7.719,5.037
41667,-0.153,-7.642,5.114
41679,-0.076,-7.642,5.19
41687,0.076,-7.565,5.344
41697,0.229,-7.642,5.42
41707,0.612,-7.719,5.956
41718,0.919,-7.795,6.263
41728,1.302,-8.025,6.493
41737,1.532,-8.332,6.569
41747,2.221,-9.251,7.259
41759,2.068,-9.941,7.489
41767,1.992,-10.4,7.719
41777,1.992,-10.4,7.719
41788,1.915,-9.941,7.795
41798,1.608,-9.481,8.332
41807,-0.153,-8.791,5.803
41817,-0.153,-8.791,5.803
41828,-2.528,-8.715,1.053
41837,-2.528,-8.715,1.053
41847,-1.685,-9.864,0.21
41857,-2.375,-9.404,1.896
41867,-2.068,-9.787,2.815
41878,-2.068,-9.787,2.815
41887,2.298,-13.312,4.271
41897,2.298,-13.312,4.271
41908,6.665,-12.316,4.041
41917,6.665,-12.316,4.041
41927,7.508,-10.247,-0.555
41937,7.508,-10.247,-0.555
41948,6.895,-8.791,-0.861
41957,6.052,-8.332,-1.168
41968,4.367,-7.949,-1.168
41977,2.834,-8.178,-1.321
41987,0.076,-9.174,-1.091
41998,0.076,-9.174,-1.091
42007,-3.984,-11.09,0.134
42017,-3.984,-11.09,0.134
42027,-5.746,-11.703,1.13
42039,-5.822,-11.703,3.888
42048,-5.439,-10.477,5.42
42057,-3.83,-9.711,5.42
42067,-1.072,-9.557,3.275
42077,0.536,-9.634,1.666
42088,1.992,-9.328,0.057
42097,2.375,-9.021,-0.095
42107,2.758,-9.251,0.21
42118,2.911,-9.251,0.517
42127,2.375,-9.021,0.823
42138,2.375,-9.021,0.823
42147,0.842,-9.021,0.44
42158,0.229,-9.174,0.363
42167,0.153,-9.404,0.593
42177,0.153,-9.404,0.593
42188,-0.076,-9.328,0.823
42198,0.153,-9.098,0.67
42207,0.383,-8.868,0.67
42217,0.383,-8.868,0.67
42228,1.072,-9.098,1.359
42237,1.072,-9.098,1.359
42247,1.455,-9.251,1.972
42258,1.455,-9.251,1.972
42267,1.379,-9.174,0.976
42279,1.455,-9.404,0.67
42287,1.225,-9.404,0.593
42299,0.996,-9.941,0.67
42308,0.996,-10.324,1.666
42317,0.996,-10.324,1.666
42327,1.149,-10.937,2.355
42337,1.149,-10.937,2.355
42347,1.532,-11.013,2.509
42357,1.532,-11.32,2.355
42367,1.302,-11.933,2.126
42378,1.302,-11.933,2.126
42387,-0.919,-11.933,1.513
42397,-0.919,-11.933,1.513
42408,-3.371,-11.473,1.743
42417,-3.371,-11.473,1.743
42427,-3.141,-11.626,2.968
42438,-3.141,-11.626,2.968
42447,-2.604,-13.235,2.815
42457,-2.988,-13.618,2.815
42468,-2.068,-13.465,3.122
42477,-2.068,-13.465,3.122
42487,-0.766,-15.151,3.275
42498,-0.306,-15.457,3.198
42507,1.532,-14.155,2.585
42517,1.532,-14.155,2.585
42528,5.516,-10.707,1.666
42537,5.516,-10.707,1.666
42547,8.121,-12.239,1.436
42557,8.121,-12.239,1.436
42567,9.5,-15.917,-0.632
42577,9.653,-17.066,-0.785
42588,9.423,-16.989,-1.704
42601,7.891,-14.921,-2.317
42607,7.891,-14.921,-2.317
42618,4.673,-11.396,-2.241
42627,3.524,-10.554,-1.398
42637,1.455,-9.711,0.593
42647,0.153,-9.404,2.126
42657,-2.834,-9.021,3.658
42668,-2.834,-9.251,4.654
42677,-3.294,-9.864,4.96
42687,-2.911,-10.17,5.19
42697,-2.375,-10.017,5.037
42707,-1.838,-9.864,4.424
42717,-0.842,-9.174,3.581
42728,-0.229,-8.715,3.122
42737,-0.229,-7.719,2.815
42748,0.076,-7.106,2.126
42757,0.306,-6.569,1.589
42767,0.536,-5.65,1.053
42779,0.536,-5.114,0.9
42787,0.612,-4.654,0.593
42797,0.766,-4.424,0.363
42809,1.379,-4.118,-0.095
42817,2.068,-3.964,-0.402
42827,2.758,-3.811,-0.938
42838,3.064,-3.581,-1.091
42847,2.988,-3.122,-1.015
42859,2.988,-2.815,-0.632
42867,2.604,-2.662,0.21
42877,2.604,-2.662,0.21
42888,1.379,-3.198,1.743
42897,0.919,-4.041,2.509
42908,0.766,-5.037,3.122
42918,0.689,-6.033,4.041
42928,0.919,-7.872,6.263
42937,1.455,-9.787,8.332
42947,1.685,-13.542,11.856
42957,1.838,-16.989,14.461
42968,-0.459,-19.901,14.921
42977,-1.685,-19.671,14.461
42987,-1.992,-15.993,14.767
42997,-1.455,-9.787,12.162
43008,-0.383,-7.029,10.4
43017,1.685,-5.114,8.178
43028,3.217,-5.19,6.569
43037,4.367,-8.332,2.815
43047,5.363,-13.005,-1.168
43059,6.435,-18.139,-3.007
43067,8.887,-21.05,-0.402
43077,10.726,-24.038,6.186
43087,2.681,-19.441,5.114
43098,-0.153,-11.09,0.287
43107,0.919,-7.795,0.517
43117,3.064,-4.271,0.287
43127,3.447,-2.662,-1.321
43138,3.217,-4.194,-2.7
43147,1.992,-6.799,-3.543
43157,1.992,-6.799,-3.543
43167,1.379,-8.791,-4.156
43177,1.379,-8.791,-4.156
43187,2.911,-10.86,-3.007
43197,2.911,-10.86,-3.007
43208,2.221,-14.614,-0.938
43217,1.685,-15.38,0.057
43227,-0.229,-14.997,1.206
43238,-1.915,-13.235,2.739
43247,-3.601,-9.787,7.029
43259,-3.601,-9.787,7.029
43267,-1.762,-7.795,6.033
43277,-1.762,-7.795,6.033
43287,2.375,-7.795,-0.249
43297,3.371,-7.489,-1.015
43307,3.677,-6.493,-1.628
43317,3.754,-6.493,-2.164
43328,2.988,-6.876,-2.241
43337,2.221,-7.642,-1.857
43347,0.996,-8.868,-0.708
43358,0.0,-10.094,-0.172
43368,-0.153,-10.4,0.057
43377,-0.536,-9.864,0.517
43387,-0.612,-9.404,1.13
43398,-0.612,-8.868,2.509
43408,0.0,-8.715,4.041
43417,0.0,-8.715,4.041
43428,1.379,-9.021,5.573
43437,0.689,-8.868,3.811
43447,-0.076,-8.868,1.972
43458,-0.076,-8.868,1.972
43467,-1.762,-9.787,0.21
43479,-2.298,-10.094,2.126
43487,-2.221,-10.554,3.352
43497,-2.221,-10.554,3.352
43509,2.604,-12.162,5.727
43517,2.145,-12.392,3.505
43527,0.536,-12.316,1.972
43538,-2.451,-11.779,1.053
43547,-4.75,-11.396,1.13
43558,-5.363,-11.243,2.049
43567,-5.286,-11.703,3.888
43577,-5.286,-11.703,3.888
43588,-4.597,-13.235,5.65
43597,-4.597,-13.235,5.65
43607,-3.754,-14.001,4.271
43618,-3.754,-14.001,4.271
43627,-1.685,-14.308,-0.019
43638,-1.685,-14.308,-0.019
43648,5.669,-14.921,-0.249
43657,5.669,-14.921,-0.249
43667,13.331,-18.522,-0.785
43677,13.637,-19.441,-0.938
43687,13.561,-20.207,-2.164
43697,13.178,-19.671,-2.087
43708,9.807,-17.909,-1.474
43717,7.661,-16.3,-0.708
43727,4.597,-14.078,0.823
43737,3.141,-12.699,1.206
43748,1.992,-11.09,0.747
43757,0.919,-9.941,1.283
43767,-3.83,-8.102,2.279
43777,-5.899,-8.178,4.194
43788,-5.209,-9.098,5.344
43797,-3.141,-10.937,5.956
43808,-1.225,-11.473,4.884
43817,-0.153,-10.86,3.045
43827,-0.153,-9.557,2.662
43838,-0.612,-7.872,2.279
43847,-0.689,-7.106,1.819
43857,-0.306,-6.34,0.747
43868,-0.076,-5.803,0.057
43877,-0.076,-5.803,0.057
43887,0.0,-4.731,-0.632
43898,0.229,-3.428,-1.628
43908,0.306,-3.122,-1.704
43917,0.996,-2.202,-1.551
43928,1.915,-1.436,-1.474
43937,1.915,-1.436,-1.474
43947,2.758,-0.747,-1.934
43958,3.141,-0.517,-1.781
43968,3.447,-0.134,-1.628
43977,3.447,-0.134,-1.628
43987,4.06,-0.9,-0.325
43998,4.06,-0.9,-0.325
44007,4.213,-3.045,1.359
44017,4.213,-3.045,1.359
44027,3.524,-8.868,4.271
44038,2.528,-11.933,6.646
44048,2.528,-18.368,12.009
44058,2.528,-18.368,12.009
44067,0.229,-28.252,22.353
44077,0.229,-28.252,22.353
44087,-5.363,-15.763,15.151
44099,-4.213,-9.864,11.55
44107,-2.145,-4.96,7.412
44117,-0.536,-3.198,5.497
44128,2.528,-3.658,3.352
44137,4.213,-6.569,2.509
44147,5.822,-12.775,-0.172
44158,6.589,-18.828,-3.696
44168,7.508,-21.433,-2.164
44177,11.799,-24.728,6.646
44188,8.351,-22.429,10.707
44197,8.351,-22.429,10.707
44207,0.996,-9.404,2.815
44218,0.996,-9.404,2.815
44227,1.685,-4.348,-1.321
44237,0.919,-2.739,-4.309
44248,0.459,-4.501,-4.462
44257,1.302,-7.106,-4.769
44267,2.604,-8.332,-4.616
44277,2.604,-8.332,-4.616
44288,4.443,-9.251,-3.237
44299,5.439,-11.09,-2.087
44307,5.669,-13.618,-0.555
44320,4.443,-14.614,0.593
44327,1.225,-15.38,1.666
44337,1.225,-15.38,1.666
44348,-4.52,-13.005,5.42
44357,-6.435,-10.554,7.106
44367,-5.976,-8.102,7.029
44377,-5.976,-8.102,7.029
44387,-0.766,-7.565,1.819
44398,1.072,-7.412,0.287
44407,2.298,-6.569,-0.478
44417,2.298,-6.569,-0.478
44428,2.375,-6.646,-1.091
44437,2.375,-6.646,-1.091
44447,0.459,-7.949,-0.708
44458,0.076,-8.715,-0.249
44467,-0.076,-9.481,0.517
44477,0.153,-9.634,1.206
44489,0.383,-9.404,1.819
44498,0.306,-9.098,1.896
44508,0.383,-8.485,2.202
44517,0.459,-8.561,2.049
44528,0.919,-8.561,3.428
44537,0.383,-9.021,3.505
44547,-0.076,-9.481,3.505
44557,-0.229,-9.404,3.122
44568,-1.532,-8.945,2.202
44577,-2.681,-8.791,1.896
44587,-3.601,-9.174,2.126
44598,-3.601,-9.174,2.126
44607,-1.149,-10.63,5.42
44617,-1.149,-10.63,5.42
44628,0.996,-12.009,2.355
44638,0.996,-12.009,2.355
44648,-1.992,-10.247,1.972
44657,-2.068,-10.554,3.122
44667,-1.762,-11.856,4.041
44678,-1.685,-12.775,3.964
44687,-2.221,-13.465,3.581
44697,-2.221,-13.465,3.581
44707,-2.375,-13.925,5.727
44718,-2.451,-14.308,5.267
44727,-3.371,-13.848,2.892
44738,-3.83,-13.312,1.513
44747,-1.608,-13.618,0.057
44757,-1.608,-13.618,0.057
44767,2.834,-13.925,-2.011
44777,2.834,-13.925,-2.011
44787,13.254,-19.977,-2.087
44797,13.254,-19.977,-2.087
44808,17.545,-22.199,-3.543
44817,17.009,-19.671,-3.16
44827,13.331,-16.76,-2.241
44838,9.653,-15.074,-0.708
44847,4.903,-12.546,0.057
44857,4.903,-12.546,0.057
44868,0.919,-9.328,-0.172
44877,0.919,-9.328,-0.172
44887,-6.435,-7.029,1.972
44898,-6.895,-7.489,4.041
44907,-5.976,-9.711,5.573
44918,-2.145,-11.32,4.884
44927,0.0,-11.32,3.275
44937,0.0,-11.32,3.275
44948,-0.612,-7.872,1.972
44957,-0.612,-7.872,1.972
44967,-0.536,-5.956,0.9
44978,-0.076,-5.267,0.21
44987,0.153,-4.884,-0.249
44998,0.153,-4.884,-0.249
45007,0.842,-4.041,-0.785
45017,0.842,-4.041,-0.785
45027,1.608,-2.739,-1.245
45038,1.608,-2.739,-1.245
45047,2.298,-1.819,-1.857
45057,2.375,-1.053,-2.241
45068,3.217,-0.287,-2.011
45077,3.217,-0.287,-2.011
45087,3.217,0.095,-0.632
45097,3.294,-0.363,0.747
45107,2.834,-0.823,1.206
45117,2.834,-0.823,1.206
45127,2.375,-6.11,3.964
45138,1.838,-9.251,4.731
45147,0.919,-12.852,6.569
45157,0.919,-12.852,6.569
45168,1.685,-28.022,23.578
45177,-5.209,-27.333,19.364
45187,-10.113,-22.812,15.993
45198,-10.113,-22.812,15.993
45207,-3.064,-7.106,10.247
45217,-3.064,-7.106,10.247
45229,1.455,-2.585,6.493
45237,1.455,-2.585,6.493
45248,4.213,-10.707,-3.62
45257,4.213,-10.707,-3.62
45267,7.968,-20.667,-5.918
45278,16.089,-25.954,5.956
45287,11.569,-28.099,12.699
45298,-1.225,-18.215,5.19
45307,3.294,-10.324,2.509
45320,2.375,-4.424,-2.7
45327,1.685,-2.509,-4.769
45338,0.153,-2.892,-4.999
45347,-0.383,-4.884,-4.846
45357,-0.383,-4.884,-4.846
45368,1.225,-8.025,-4.846
45377,1.225,-8.025,-4.846
45387,4.673,-10.247,-4.692
45398,6.052,-12.929,-2.93
45407,5.822,-14.767,-1.168
45417,5.822,-14.767,-1.168
45428,0.996,-17.372,2.432
45437,0.996,-17.372,2.432
45447,-5.209,-13.388,8.178
45458,-5.209,-13.388,8.178
45467,-5.516,-7.259,6.953
45477,-3.141,-6.263,2.432
45488,-0.919,-6.646,0.363
45497,1.762,-6.646,-0.938
45508,2.911,-5.803,-1.168
45517,4.137,-4.884,-2.164
45527,4.06,-4.884,-2.93
45538,3.984,-6.416,-2.47
45547,3.371,-7.489,-2.011
45557,2.911,-9.021,-0.402
45567,2.375,-10.017,1.206
45578,2.451,-10.324,1.896
45587,1.532,-9.787,2.509
45597,1.149,-8.868,3.352
45607,0.076,-8.102,3.505
45618,-0.153,-8.102,3.045
45628,-0.612,-8.638,1.896
45638,-0.153,-9.404,1.589
45647,0.076,-10.017,1.053
45657,0.076,-10.017,1.053
45668,-1.225,-10.4,2.202
45677,-1.455,-10.63,3.428
45687,-0.766,-11.473,4.424
45698,-1.072,-12.009,3.811
45707,-2.758,-12.162,2.202
45717,-4.213,-11.856,1.819
45727,-6.359,-11.32,2.126
45738,-6.665,-11.166,2.585
45747,-6.359,-11.166,3.735
45757,-5.822,-12.086,3.658
45767,-5.746,-13.465,2.585
45777,-5.899,-13.542,1.819
45788,-5.209,-13.005,2.049
45797,-2.068,-14.538,3.964
45807,0.842,-15.84,4.501
45818,5.056,-16.836,3.122
45828,7.585,-16.453,1.436
45837,9.96,-15.304,-0.785
45847,10.573,-14.767,-1.934
45858,10.266,-14.308,-3.007
45867,10.036,-14.155,-2.547
45878,10.113,-14.155,-0.708
45887,10.19,-14.691,0.363
45897,8.121,-15.993,0.976
45907,7.355,-16.53,1.206
