time,x,y,z
35001,1.225,-8.561,1.972
35011,4.137,-7.489,1.206
35022,5.286,-6.646,0.67
35031,5.899,-5.267,-0.785
35041,5.593,-3.888,-1.168
35051,5.439,-2.432,-2.47
35062,5.593,-1.896,-2.317
35071,5.669,-1.359,-0.785
35081,4.673,-0.976,0.287
35092,2.911,-1.666,1.053
35101,2.911,-3.275,1.896
35111,2.068,-4.96,5.267
35122,0.689,-6.34,9.098
35131,-3.524,-10.707,13.771
35142,-8.427,-15.227,11.32
35151,-13.714,-25.724,-4.079
35161,-15.17,-26.337,-5.382
35171,-17.468,-21.433,2.585
35182,-14.174,-17.219,7.872
35191,-5.439,-13.235,5.65
35201,-4.213,-12.469,4.501
35211,-0.459,-10.554,-0.938
35222,0.536,-10.477,-1.321
35231,4.213,-11.856,-0.938
35241,5.822,-12.929,0.747
35251,5.822,-14.767,8.791
35261,4.673,-17.449,9.557
35272,7.355,-16.606,8.332
35281,9.96,-10.63,2.202
35291,10.113,-7.029,-0.172
35301,9.73,-4.348,-4.846
35311,9.883,-5.114,-5.842
35322,5.593,-4.194,-6.608
35331,4.367,-4.194,-5.305
35341,5.899,-5.267,-2.624
35351,6.742,-7.029,-0.938
35361,6.665,-12.316,-1.474
35372,7.278,-11.703,-0.785
35381,7.278,-12.392,0.21
35391,7.202,-13.618,0.517
35401,6.589,-14.078,0.057
35411,5.593,-13.771,-0.095
35422,4.443,-13.618,-0.708
35431,2.758,-13.388,-1.321
35441,1.379,-13.312,-2.394
35451,-1.149,-12.622,-4.003
35461,-2.758,-11.779,-4.386
35472,-4.75,-10.477,-3.62
35481,-5.363,-9.941,-2.547
35491,-6.589,-8.945,-1.474
35501,-7.355,-8.102,-0.861
35512,-6.665,-7.106,1.513
35521,-4.443,-7.489,2.355
35531,-2.911,-7.949,2.509
35541,-1.379,-8.408,2.355
35551,0.383,-8.945,2.355
35562,1.225,-9.481,2.202
35571,1.455,-9.481,1.513
35581,2.145,-9.557,1.819
35591,2.988,-9.557,2.662
35601,2.988,-9.404,2.968
35611,3.141,-9.404,2.892
35622,3.217,-9.711,2.126
35631,3.601,-10.247,0.976
35641,3.447,-10.324,-0.172
35651,2.911,-10.17,-0.785
35661,2.068,-9.634,-1.628
35672,1.532,-9.174,-2.164
35681,0.919,-9.557,-2.853
35691,0.919,-10.324,-3.007
35701,0.383,-11.32,-3.773
35711,-0.383,-11.32,-4.079
35722,-0.612,-11.09,-4.079
35731,-0.919,-11.013,-2.7
35741,-1.225,-11.473,-0.249
35751,-0.459,-11.933,2.355
35762,-0.153,-13.312,5.42
35771,-0.076,-14.308,5.267
35781,-0.383,-14.921,2.892
35791,-1.608,-14.767,1.13
35802,-4.29,-13.465,-0.402
35811,-6.205,-12.775,0.747
35821,-9.5,-12.009,1.666
35832,-11.339,-11.473,1.743
35841,-11.952,-11.55,2.202
35851,-9.347,-12.546,3.045
35861,-6.972,-13.542,4.348
35872,-2.298,-15.993,3.428
35881,0.766,-17.296,1.896
35891,3.984,-16.223,-1.781
35902,5.822,-16.376,-4.539
35911,7.125,-18.215,-6.071
35921,8.198,-20.131,-6.608
35932,9.577,-23.195,-5.305
35941,9.27,-23.349,0.21
35951,9.04,-17.909,10.4
35961,9.653,-14.308,11.779
35972,9.883,-12.009,6.569
35981,10.036,-11.166,3.045
35991,11.262,-9.941,1.436
36002,9.653,-9.328,-0.938
36011,8.274,-8.715,-3.466
36021,5.439,-7.719,-4.156
36031,3.601,-6.723,-3.237
36041,1.685,-5.267,-2.164
36051,0.842,-4.884,-1.168
36062,1.072,-4.731,0.747
36071,0.536,-5.344,0.057
36081,0.459,-6.186,1.13
36092,-0.306,-6.953,1.819
36101,-2.758,-8.025,0.747
36111,-3.447,-7.872,1.743
36121,0.076,-7.336,2.509
36132,2.528,-6.799,2.049
36141,4.52,-5.344,-0.019
36151,5.669,-4.348,-0.708
36162,6.665,-3.198,-0.785
36171,6.972,-2.968,-0.478
36181,6.282,-2.049,-0.785
36191,5.363,-1.436,-0.325
36202,1.838,-1.359,0.057
36211,0.612,-2.126,0.363
36221,1.379,-4.501,5.727
36232,-0.996,-7.489,10.63
36241,-4.98,-10.477,12.009
36251,-12.105,-16.53,5.344
36261,-12.948,-19.824,1.666
36271,-9.5,-19.441,3.735
36281,-11.262,-23.962,1.13
36291,-5.516,-17.066,8.102
36301,-4.673,-14.078,8.715
36311,-2.834,-11.779,6.34
36322,-1.379,-11.626,4.577
36331,0.766,-13.695,5.65
36341,1.379,-16.76,6.033
36351,-0.383,-19.211,7.719
36361,5.209,-19.901,9.711
36372,11.032,-14.308,8.715
36381,11.722,-9.634,3.428
36391,12.871,-5.88,-7.144
36401,10.496,-2.509,-9.749
36412,4.29,1.321,-11.741
36421,7.278,-0.976,-7.527
36431,6.972,-3.581,-6.071
36441,5.976,-4.731,-4.769
36451,6.205,-6.263,-4.003
36462,8.964,-10.554,-3.696
36471,9.653,-14.538,-1.168
36481,5.976,-12.546,2.585
36491,6.665,-11.473,2.432
36501,7.585,-15.763,2.585
36512,8.504,-18.062,1.819
36521,7.508,-18.215,-0.325
36531,5.746,-16.836,-2.011
36541,2.221,-14.767,-2.087
36552,0.306,-13.235,-1.474
36561,-1.762,-11.626,-1.091
36571,-2.988,-11.396,-1.168
36581,-5.516,-11.396,-1.551
36591,-7.278,-10.86,-1.551
36602,-8.427,-9.328,0.976
36611,-8.81,-8.561,1.972
36621,-7.738,-7.642,2.202
36631,-5.056,-7.872,1.436
36642,-3.601,-8.025,0.823
36651,-1.762,-8.408,1.053
36662,-0.766,-8.561,0.747
36671,0.076,-8.638,0.517
36681,0.842,-8.791,0.134
36691,0.919,-8.561,0.823
36702,1.915,-8.868,1.283
36711,2.988,-9.021,3.198
36721,2.604,-8.868,3.428
36732,3.371,-9.328,3.505
36741,3.371,-9.557,3.275
36751,2.834,-9.864,1.053
36761,2.604,-9.864,0.287
36771,1.838,-9.251,-1.628
36781,1.608,-8.945,-1.781
36791,0.842,-8.408,-2.547
36802,0.766,-8.791,-3.083
36811,1.302,-9.941,-3.39
36821,1.685,-11.243,-3.85
36832,1.838,-11.473,-4.156
36841,1.915,-11.933,-3.62
36851,1.992,-12.316,-2.93
36861,1.379,-13.388,-1.091
36872,1.149,-13.388,0.747
36881,-0.153,-13.312,4.807
36891,-0.766,-13.618,5.956
36902,-1.072,-14.691,4.654
36911,-1.915,-14.691,3.275
36921,-3.907,-14.231,1.896
36932,-5.209,-13.465,1.896
36941,-7.278,-12.546,2.049
36951,-8.81,-12.316,1.896
36961,-10.266,-12.086,0.134
36972,-11.109,-11.626,-1.091
36981,-11.492,-11.243,0.747
36991,-8.198,-12.622,1.436
37002,-3.83,-14.308,2.279
37011,-0.383,-15.227,0.9
37021,3.907,-15.84,-2.317
37032,5.746,-16.913,-4.156
37041,7.508,-19.901,-7.527
37051,10.113,-23.732,-7.91
37061,10.879,-25.187,-5.918
37072,9.883,-17.066,11.856
37081,9.73,-14.921,13.848
37091,10.573,-11.703,11.473
37101,10.956,-10.86,7.106
37112,9.807,-9.864,1.436
37121,9.577,-9.174,-1.015
37131,9.194,-8.561,-3.926
37141,7.814,-8.332,-5.075
37151,4.75,-6.876,-5.075
37163,2.911,-5.88,-4.003
37171,1.838,-5.114,0.134
37181,0.766,-4.96,1.206
37191,-0.612,-5.19,2.279
37202,-1.455,-6.11,1.896
37211,-2.451,-7.336,2.509
37221,-2.911,-7.719,2.279
37231,-1.838,-7.412,2.662
37241,0.459,-7.106,2.892
37251,3.371,-6.11,2.509
37262,4.597,-4.731,0.44
37271,4.826,-3.505,-1.628
37281,5.669,-3.122,-1.551
37291,6.129,-2.355,-2.087
37301,6.205,-1.972,-1.551
37311,5.363,-1.13,-1.168
37321,3.984,-1.283,-2.164
37331,3.984,-2.509,-0.325
37341,3.447,-3.658,2.509
37352,2.068,-5.727,9.787
37361,-0.459,-8.561,15.84
37371,-11.262,-15.993,12.852
37381,-16.319,-24.345,0.44
37391,-17.085,-31.317,-8.83
37402,-12.411,-20.744,6.646
37411,-15.629,-22.812,0.9
37421,-6.282,-15.687,8.485
37431,-4.903,-12.239,7.259
37442,-2.145,-9.404,1.972
37451,-0.076,-7.949,-1.245
37462,1.992,-8.638,-1.245
37472,6.359,-11.779,1.053
37482,11.492,-16.223,4.118
37491,11.569,-19.518,10.4
37501,7.202,-16.76,10.017
37512,8.964,-13.388,3.045
37521,7.585,-10.324,-1.474
37531,7.968,-6.876,-2.011
37541,7.278,-5.727,-3.926
37551,5.669,-4.424,-4.003
37561,4.597,-4.348,-3.85
37571,5.286,-4.807,-2.394
37582,5.439,-5.42,-2.011
37591,5.363,-9.864,-1.781
37601,5.363,-11.473,-3.16
37611,6.972,-11.779,-3.237
37622,6.895,-12.699,-2.777
37631,6.665,-13.771,-1.398
37641,5.822,-13.771,-0.708
37652,5.209,-13.542,-0.785
37661,4.213,-13.695,-1.091
37671,3.371,-13.695,-2.087
37681,1.532,-12.546,-2.777
37692,0.229,-11.55,-2.394
37701,-1.532,-10.783,-2.241
37711,-3.141,-10.094,-1.781
37722,-5.363,-9.098,-0.632
37731,-6.129,-8.255,0.593
37741,-5.822,-7.565,1.819
37752,-4.903,-7.489,1.589
37761,-2.834,-7.949,0.747
37771,-1.379,-8.638,0.593
37782,0.612,-9.481,0.21
37791,1.072,-9.557,-0.632
37801,1.302,-9.174,-0.325
37811,1.302,-8.791,0.057
37822,1.379,-8.255,0.21
37831,2.451,-8.255,1.283
37841,2.758,-8.408,1.819
37852,3.984,-8.868,3.888
37861,4.06,-9.021,4.041
37871,3.754,-9.251,3.888
37882,3.294,-9.251,3.428
37891,2.145,-9.711,1.513
37901,1.685,-9.787,0.44
37911,0.766,-9.711,-1.168
37922,0.229,-10.017,-1.704
37931,-0.076,-11.09,-3.007
37941,0.153,-11.856,-3.466
37952,0.229,-11.55,-4.616
37961,0.076,-11.09,-4.616
37971,-0.076,-11.473,-3.237
37982,-0.383,-12.009,-2.547
37991,-1.532,-12.239,-0.708
38001,-2.375,-12.316,1.513
38011,-3.217,-13.312,5.956
38022,-2.834,-14.155,6.569
38031,-3.141,-14.921,5.573
38041,-4.443,-14.231,4.041
38052,-5.516,-13.312,3.735
38061,-7.814,-12.546,3.888
38071,-8.581,-12.775,2.355
38082,-10.496,-13.082,-0.172
38091,-10.726,-13.542,0.44
38101,-6.665,-15.227,0.976
38111,-3.907,-16.147,0.976
38122,-0.153,-16.53,-0.019
38131,1.608,-16.836,-2.087
38143,3.984,-18.905,-6.301
