time,x,y,z
50006,-3.294,-21.127,-4.233
50015,0.306,-18.139,-1.091
50025,4.903,-11.779,1.896
50035,4.213,-9.098,2.739
50045,-0.229,-5.956,6.033
50055,-1.838,-8.638,4.577
50065,-1.302,-11.856,1.283
50076,1.915,-11.473,-0.861
50085,4.213,-10.554,-1.551
50095,3.907,-10.094,-0.785
50105,3.294,-10.324,1.053
50115,1.992,-10.63,2.432
50125,1.149,-10.783,1.206
50136,0.689,-10.17,1.359
50145,0.842,-9.174,2.509
50155,1.225,-8.332,2.355
50165,1.149,-8.025,2.202
50176,0.919,-8.025,2.662
50186,0.536,-8.102,3.122
50196,-0.229,-8.255,3.428
50205,-0.766,-8.408,3.045
50215,-1.838,-9.021,1.743
50226,-1.838,-9.021,1.743
50235,-1.762,-9.481,1.13
50245,-2.221,-9.251,0.134
50255,-2.604,-8.561,-0.632
50265,-2.451,-8.332,-1.245
50276,-2.375,-8.561,-0.019
50285,-2.068,-9.328,0.747
50295,-1.915,-9.634,1.053
50305,-1.685,-9.941,2.509
50316,-1.838,-10.324,2.279
50325,-2.145,-10.247,1.436
50335,-1.992,-10.17,0.976
50345,-1.838,-10.017,0.823
50355,-1.762,-9.864,0.976
50366,-1.455,-10.017,0.9
50375,-1.302,-10.017,0.823
50385,-1.225,-10.324,1.053
50395,-1.379,-10.4,1.436
50406,-1.302,-10.017,2.432
50415,-1.532,-9.251,3.352
50425,-1.608,-8.332,4.348
50435,-1.225,-7.336,3.811
50445,-0.996,-6.646,3.505
50456,-1.149,-5.573,3.198
50465,-1.149,-5.267,2.662
50475,-1.072,-6.34,1.053
50485,-0.766,-8.025,0.363
50496,-0.842,-11.55,0.287
50505,-0.229,-13.848,2.509
50515,0.076,-14.155,4.041
50525,-0.153,-13.542,4.731
50536,-1.762,-11.013,5.42
50545,-2.758,-8.868,6.11
50555,-3.677,-6.723,4.807
50565,-3.677,-7.489,2.126
50575,-0.996,-9.634,0.363
50585,-0.842,-9.557,0.44
50595,-1.915,-9.174,1.359
50606,-2.375,-8.791,2.126
50615,-1.915,-7.642,2.126
50625,-1.608,-7.489,1.206
50635,-1.149,-8.485,0.44
50645,-0.536,-9.941,0.823
50655,1.302,-13.235,1.589
50666,1.379,-16.07,2.509
50675,1.532,-17.909,2.432
50685,0.459,-19.748,1.13
50695,-0.229,-20.284,-0.172
50706,-1.455,-20.284,0.057
50715,-4.06,-18.139,0.21
50725,-5.209,-12.239,-6.301
50736,-4.213,-9.098,-6.991
50745,-10.956,-5.19,-4.079
50755,-7.661,-5.956,-1.704
50766,-1.992,-9.021,-0.172
50775,-0.842,-10.477,0.823
50785,-0.766,-11.32,2.126
50795,-1.225,-11.013,3.122
50805,-1.608,-10.094,4.348
50816,-1.608,-9.481,4.271
50825,-1.532,-8.791,3.122
50835,-1.072,-8.178,1.972
50845,-0.689,-7.872,1.513
50855,0.229,-7.642,1.589
50866,0.919,-8.102,1.819
50875,1.685,-8.561,2.126
50885,1.838,-8.638,2.126
50895,1.915,-8.255,2.279
50905,1.992,-7.949,2.202
50915,1.762,-7.565,1.972
50926,1.149,-7.336,1.896
50935,0.612,-7.336,2.279
50945,0.153,-7.336,2.662
50955,-0.459,-7.336,2.202
50966,-0.996,-7.565,1.359
50975,-2.298,-7.949,0.823
50985,-3.447,-7.489,1.283
50995,-5.363,-6.416,2.432
51005,-6.665,-6.263,2.739
51016,-9.27,-7.029,3.505
51026,-11.875,-7.872,6.876
51035,-10.956,-9.404,8.408
51045,-7.278,-11.703,8.255
51056,-4.06,-12.929,5.88
51066,0.459,-13.542,1.513
51075,0.459,-13.542,1.513
51086,-3.984,-10.937,4.424
51095,-5.822,-12.469,3.275
51105,-8.121,-11.396,2.585
51115,-9.5,-12.239,3.122
51126,-6.972,-17.296,1.896
51135,-4.98,-18.062,0.747
51145,0.842,-15.457,-0.785
51155,3.677,-13.312,-2.087
51165,2.451,-10.094,0.44
51175,0.919,-8.102,2.968
51186,-1.149,-9.021,4.577
51195,-0.689,-10.937,2.585
51205,-0.612,-11.933,0.287
51215,0.459,-11.779,-0.478
51225,3.371,-10.86,0.287
51235,4.137,-10.247,1.053
51245,2.988,-10.247,1.206
51255,1.225,-10.247,1.819
51265,0.459,-9.634,2.049
51275,-0.076,-8.561,2.815
51285,-0.229,-8.025,2.585
51295,0.383,-8.332,2.049
51305,0.689,-8.638,1.743
51315,0.536,-8.945,1.513
51325,0.229,-8.868,1.436
51335,-0.383,-8.791,1.513
51345,-0.842,-8.561,1.513
51355,-1.225,-8.638,0.823
51365,-0.766,-8.868,0.747
51376,-0.459,-9.098,0.747
51385,-0.536,-9.174,0.976
51395,-0.842,-9.174,1.359
51405,-1.302,-9.174,1.13
51416,-1.608,-9.328,0.976
51425,-1.838,-9.404,0.823
51435,-1.992,-9.481,0.823
51448,-2.298,-9.328,0.67
51455,-2.145,-9.404,0.67
51466,-1.608,-10.017,-0.249
51476,-1.455,-10.324,0.44
51485,-1.072,-10.247,1.359
51495,-0.842,-10.17,2.126
51505,-0.383,-9.711,2.662
51515,-0.229,-9.634,3.122
51526,-1.149,-9.098,3.964
51535,-1.915,-8.638,4.577
51545,-2.988,-7.949,4.731
51555,-3.294,-7.565,4.424
51565,-2.988,-7.029,4.348
51576,-3.141,-6.876,4.041
51585,-3.371,-7.106,2.509
51595,-3.601,-7.489,0.67
51605,-3.371,-8.945,-1.628
51615,-2.528,-10.63,-1.091
51626,-2.145,-11.933,0.287
51635,-1.302,-11.703,1.819
51645,-0.689,-12.086,3.045
51655,-0.076,-12.239,3.122
51665,-0.076,-11.396,2.892
51675,-0.612,-10.554,3.658
51686,-0.842,-10.477,4.118
51695,-0.383,-10.707,3.428
51705,0.076,-10.707,3.198
51715,0.689,-10.477,3.122
51725,1.072,-9.941,3.275
51736,0.612,-8.945,2.739
51745,0.459,-8.715,1.972
51755,0.612,-8.715,1.436
51765,1.072,-9.021,1.359
51775,2.604,-10.017,0.593
51785,1.992,-10.86,0.44
51796,-0.229,-13.005,1.359
51805,-0.076,-14.844,1.436
51815,0.229,-16.606,1.743
51825,-0.459,-16.836,2.279
51835,-2.911,-16.147,-1.245
51845,-2.375,-13.695,-2.011
51855,-6.512,-11.166,-1.474
51866,-11.109,-5.956,-3.62
51875,-6.282,-6.876,-2.547
51885,-3.217,-7.795,-0.019
51895,-2.298,-8.791,1.359
51905,-1.379,-9.557,3.045
51915,-0.996,-9.557,4.271
51925,-0.612,-8.868,4.807
51935,-0.306,-8.485,4.194
51946,-0.536,-7.642,2.509
51955,-0.536,-7.412,1.053
51965,-0.383,-7.565,0.67
51975,-0.153,-7.872,0.747
51986,0.383,-8.408,1.359
51995,0.536,-8.561,1.743
52005,0.612,-8.715,2.202
52015,0.766,-8.791,2.355
52025,0.689,-8.791,2.355
52035,0.229,-8.561,2.126
52045,-0.229,-8.408,2.049
52056,-0.766,-8.255,1.896
52065,-1.302,-8.255,1.743
52075,-2.145,-8.332,1.13
52085,-3.064,-8.025,0.593
52095,-4.826,-6.953,0.823
52105,-6.282,-6.569,0.976
52116,-8.044,-7.795,2.815
52125,-10.19,-8.408,5.42
52135,-11.109,-9.787,7.719
52145,-9.883,-11.09,8.638
52155,-6.665,-12.239,7.872
52165,-2.528,-12.546,4.731
52176,-0.766,-9.864,2.815
52185,-2.911,-9.174,2.662
52195,-4.75,-12.009,2.815
52205,-6.282,-13.542,2.509
52216,-7.738,-12.622,-0.249
52225,-7.814,-17.526,0.517
52235,-6.282,-20.284,-1.168
52245,0.536,-17.143,-1.091
52256,4.367,-13.465,-1.245
52265,5.822,-9.021,2.279
52275,4.826,-6.263,4.807
52285,2.145,-6.416,6.11
52295,0.612,-8.791,3.428
52305,-0.459,-10.937,-0.172
52316,-0.996,-11.703,-1.474
52325,-0.383,-12.469,-2.7
52335,0.996,-12.239,-1.628
52345,2.068,-11.396,0.593
52355,1.455,-10.86,1.206
52366,0.459,-10.017,2.509
52375,0.076,-9.328,2.968
52385,0.383,-8.791,3.122
52395,0.996,-8.715,3.045
52405,0.612,-8.408,2.432
52415,0,-8.485,1.359
52426,-0.229,-8.638,1.743
52435,-1.225,-8.638,2.432
52445,-1.455,-8.561,2.126
52455,-1.685,-8.868,1.513
52465,-1.149,-9.098,0.9
52476,-0.996,-8.791,0.363
52486,-1.072,-8.561,0.287
52495,-1.762,-8.255,0.67
52505,-1.992,-8.408,0.747
52515,-1.915,-8.945,1.819
52525,-1.915,-9.481,1.819
52536,-1.915,-10.17,0.67
