time,x,y,z
33501,9.347,9.902,-6.838
33511,8.734,8.063,-0.555
33521,7.202,7.834,3.581
33532,6.129,7.987,4.96
33541,5.286,7.91,3.275
33551,3.524,7.68,-1.015
33561,1.532,8.293,-2.011
33571,0.459,8.37,-2.011
33582,-0.306,8.293,-1.781
33591,-0.689,7.91,-1.091
33601,-0.766,6.454,-0.861
33611,-0.383,5.842,-0.249
33621,-0.766,5.458,-0.938
33631,0.153,4.769,-0.938
33642,0.919,3.696,-0.095
33651,1.225,3.237,0.363
33661,1.149,2.853,1.283
33671,1.225,2.777,1.972
33681,0.842,3.16,2.585
33691,0.612,3.466,2.892
33701,0.459,4.079,3.045
33712,0.153,4.692,3.198
33721,-0.306,5.918,4.041
33731,-0.612,7.067,4.271
33741,-0.996,8.83,5.114
33751,-1.379,10.668,5.037
33761,-0.842,13.503,4.96
33772,-1.149,15.036,5.19
33781,-0.689,15.036,5.19
33791,-0.536,14.04,6.569
33801,-1.608,11.511,7.642
33812,-2.298,9.979,6.493
33821,-2.528,8.217,4.577
33831,-2.298,7.757,4.348
33841,-2.145,7.297,4.424
33853,-1.915,7.604,4.96
33861,-1.379,9.672,5.344
33872,-1.379,9.672,5.344
33881,-1.379,9.672,5.344
33892,-2.221,19.939,-0.555
33901,-2.221,19.939,-0.555
33911,-2.221,18.637,-2.547
33921,6.205,7.68,3.964
33931,7.968,2.47,8.638
33942,6.972,-0.057,6.569
33951,5.593,-0.976,1.896
33961,4.29,-0.287,0.976
33971,3.677,-0.67,-0.478
33981,3.524,-0.976,-4.156
33992,3.217,1.781,-7.604
34001,2.528,7.221,-8.293
34012,0.306,12.277,-7.91
34021,-2.451,20.705,-5.918
34032,-3.524,23.693,-5.458
34041,-3.524,18.79,-1.934
34052,-2.375,14.346,-0.555
34062,-1.608,10.592,0.21
34071,-1.532,10.132,1.13
34081,-0.766,10.285,0.747
34092,0.996,9.596,-0.249
34101,2.758,8.83,-1.015
34111,3.294,8.6,-1.015
34121,3.371,8.37,-1.091
34132,3.754,8.063,-1.015
34141,3.141,6.914,-0.249
34151,2.221,6.225,-0.019
34162,0.996,6.301,-0.478
34171,0.383,7.144,-0.938
34181,0.383,8.217,-0.632
34191,0.842,7.834,-0.019
34202,0.689,6.838,-0.172
34211,0.919,6.378,-0.555
34221,1.608,6.071,-1.398
34231,1.608,6.301,-1.857
34242,1.455,6.991,-2.011
34251,1.072,7.221,-1.245
34261,0.459,7.374,-0.019
34271,0.153,7.834,0.9
34282,0.229,8.063,1.819
34291,0.459,7.834,1.513
34301,0.919,7.987,-0.095
34311,0.919,8.217,-0.632
34322,0.766,8.753,-1.474
34331,0.459,9.289,-1.934
34341,0.229,9.136,-2.164
34352,-0.076,8.676,-1.934
34361,-0.306,9.059,0.057
34371,-0.383,9.213,0.21
34382,-1.532,10.209,-1.245
