time,x,y,z
43007,-0.996,10.285,2.049
43018,-0.536,9.826,6.646
43031,-0.536,9.826,6.646
43039,-1.225,7.451,5.267
43048,-1.225,7.451,5.267
43057,-0.383,6.454,2.279
43067,-0.229,6.071,0.9
43077,-0.536,5.918,-0.249
43087,-0.842,5.918,-0.632
43097,-1.072,6.301,-0.708
43108,-1.225,6.761,-0.632
43117,-1.455,7.221,-0.249
43127,-2.145,7.834,0.21
43137,-2.528,7.91,0.593
43147,-3.064,7.68,1.436
43157,-3.064,7.68,1.436
43168,-4.213,8.293,2.815
43177,-4.213,8.293,2.815
43187,-4.213,8.37,2.968
43197,-3.677,8.14,2.968
43207,-3.217,7.987,2.585
43218,-3.217,8.063,2.432
43227,-3.754,8.14,2.202
43237,-3.907,7.987,2.049
43247,-4.06,7.834,2.049
43258,-4.06,7.374,2.279
43267,-3.754,6.838,2.355
43277,-3.141,6.531,2.355
43288,-3.141,6.531,2.355
43297,-2.528,6.684,2.049
43308,-2.528,6.684,2.049
43317,-2.451,6.378,2.662
43327,-2.451,6.378,2.662
43337,-4.443,6.914,4.041
43348,-4.98,7.987,3.964
43357,-4.903,9.519,3.888
43367,-4.98,10.362,3.428
43377,-5.363,10.668,2.279
43387,-5.593,10.056,1.819
43397,-5.209,8.6,1.896
43407,-4.826,7.757,1.819
43417,-4.367,7.144,0.976
43428,-3.524,6.838,0.67
43437,-1.838,6.608,0.9
43447,-0.612,6.684,0.976
43457,0.383,7.297,0.21
43467,0.612,8.063,-0.632
43478,0.689,8.753,-1.628
43487,0.842,8.983,-1.474
43497,0.766,9.979,-0.555
43507,0.153,11.894,0.44
43518,0.153,11.894,0.44
43527,-1.915,14.729,1.743
43537,-5.056,17.104,2.662
43547,-7.202,18.407,2.662
43557,-7.585,17.181,0.363
43569,-7.585,17.181,0.363
43577,-6.435,12.354,-5.688
43587,-5.056,7.987,0.9
43598,-4.903,5.535,3.045
43608,-4.903,5.535,3.045
43617,-2.988,2.547,1.972
43627,-2.911,3.237,0.976
43637,-3.064,5.305,2.202
43648,-2.834,7.451,3.888
43657,-2.681,8.063,4.424
43667,-2.758,8.37,4.501
43677,-2.681,8.523,4.194
43687,-2.681,8.523,4.194
43697,-2.375,8.83,1.972
43707,-2.145,8.676,1.206
43718,-1.685,7.834,0.21
43727,-1.532,7.297,0.287
43737,-1.762,6.914,1.436
43747,-1.915,6.761,2.432
43757,-2.145,6.608,3.352
43767,-1.992,6.531,3.811
43777,-2.298,6.454,3.505
43788,-2.221,6.378,3.428
43797,-2.221,6.378,3.428
43807,-2.298,6.148,3.888
43818,-2.604,5.995,4.118
43827,-3.294,5.995,4.577
43838,-3.83,6.148,5.114
43847,-4.52,6.838,5.497
43857,-4.98,7.221,4.96
43867,-5.286,7.374,4.041
43879,-5.286,7.374,4.041
43887,-4.98,7.68,1.896
43897,-3.371,8.6,2.126
43908,-2.604,9.519,2.509
43917,-2.528,10.592,3.658
43927,-3.447,10.898,5.573
43937,-4.213,10.745,6.953
43947,-5.286,10.668,7.719
43958,-5.133,11.358,7.106
43967,-5.133,12.354,5.114
43977,-5.209,12.584,3.581
43987,-4.137,12.354,1.436
43997,-3.064,11.894,-0.632
44008,-0.842,11.205,-2.547
44018,0.306,10.132,-2.241
44027,0.306,10.132,-2.241
44038,-1.455,6.454,-0.402
44047,-1.838,5.612,0.593
44057,-2.145,6.148,0.363
44067,-2.528,7.297,0.517
44077,-3.447,7.834,0.823
44088,-3.83,7.987,0.747
44097,-3.83,7.987,0.747
44107,-3.754,9.749,-0.478
44118,-3.447,11.435,-0.478
44127,-3.064,12.048,0.517
44137,-3.064,12.048,0.517
44147,-1.915,11.664,3.581
44164,-1.915,11.664,3.581
44168,-0.996,9.979,3.658
44182,-0.383,7.374,2.585
44187,-0.229,6.914,2.202
44198,-0.229,6.454,1.283
44207,-0.459,6.301,0.9
44217,-0.919,6.378,0.747
44227,-1.225,6.684,0.747
44237,-1.762,7.221,0.9
44247,-1.992,7.68,1.13
44257,-2.528,8.217,1.436
44268,-2.528,8.217,1.436
44277,-3.294,8.83,1.589
44287,-3.294,8.83,1.589
44297,-3.524,8.6,1.743
44308,-3.524,8.6,1.743
44317,-3.294,8.063,1.972
44329,-3.141,7.757,2.126
44337,-3.064,7.374,2.355
44347,-3.371,7.451,2.126
44357,-3.524,7.527,1.819
44367,-3.677,7.834,1.666
44378,-3.83,7.987,1.743
44387,-3.754,7.757,2.202
44397,-3.907,7.527,2.662
44407,-3.754,7.144,3.198
44417,-3.754,6.991,3.122
44427,-3.754,6.838,2.815
44438,-3.754,6.838,2.815
44447,-3.754,6.225,2.585
44458,-3.754,6.225,2.585
44467,-4.29,5.842,2.355
44477,-4.75,7.144,2.279
44487,-4.52,8.217,2.662
44497,-4.137,9.443,3.581
44507,-4.06,9.749,4.041
44518,-3.907,9.366,4.194
44527,-4.29,8.447,3.122
44537,-5.056,6.531,1.13
44547,-4.597,5.382,0.44
44557,-3.677,4.769,0.593
44567,-3.371,5.152,0.517
44578,-2.451,6.148,0.363
44587,-1.225,6.838,0.593
44597,0,7.604,0.21
44607,0.612,8.217,-1.015
44617,0.996,8.217,-1.398
44628,0.766,8.293,-1.398
44637,0.766,8.293,-1.398
44647,0.536,9.519,-1.168
44657,-0.536,14.116,0.823
44668,-2.834,17.334,2.892
44677,-5.209,19.786,4.118
44687,-7.661,20.782,3.811
44697,-7.968,18.407,-1.015
44707,-6.742,13.35,-4.922
44718,-6.742,13.35,-4.922
44727,-5.133,9.366,0.057
44737,-5.133,9.366,0.057
44747,-4.06,2.853,3.581
44758,-2.988,1.168,1.819
44767,-2.758,4.156,2.509
44777,-2.681,6.684,3.735
44787,-3.141,8.37,4.577
44797,-3.141,8.676,4.807
44807,-2.451,8.753,4.884
44817,-1.992,8.906,4.194
44828,-2.298,9.136,2.585
44837,-2.145,9.059,1.359
44847,-1.992,8.6,-0.249
44857,-1.915,7.987,-0.402
44868,-2.758,7.604,1.13
44877,-2.758,7.144,2.892
44887,-2.758,7.144,2.892
44897,-1.838,6.761,4.118
44908,-1.838,6.761,4.118
44917,-2.681,6.454,3.581
44927,-2.681,6.454,3.581
44938,-1.838,6.071,3.658
44947,-1.838,6.071,3.658
44957,-1.838,6.148,4.884
44968,-2.298,6.225,4.501
44977,-3.524,6.378,4.194
44988,-4.367,6.838,4.424
44997,-4.367,6.838,4.424
45007,-4.903,7.91,4.807
45018,-4.903,7.91,4.807
45029,-4.903,8.6,2.509
45037,-3.754,9.289,2.279
45047,-2.834,9.749,2.815
45057,-2.988,9.826,3.735
45068,-3.294,9.902,4.807
45077,-5.516,10.132,5.956
45087,-6.052,10.745,7.182
45097,-5.976,12.431,8.178
45107,-5.899,13.044,6.493
45117,-5.822,12.66,4.884
45128,-3.141,10.515,1.743
45137,-1.149,10.056,-0.632
45147,-0.459,9.826,-1.934
45157,-0.842,8.676,-2.164
45168,-1.762,6.225,-0.938
45177,-2.834,5.152,-0.249
45187,-4.213,5.918,-0.708
45198,-4.213,5.918,-0.708
45208,-3.83,6.684,-0.785
45217,-3.984,8.37,-0.325
45227,-3.984,8.37,-0.325
45238,-3.524,10.745,-0.249
45247,-3.524,10.745,-0.249
45257,-1.992,12.66,-1.934
45267,-0.612,11.588,0.976
45277,-0.842,9.519,3.581
45291,-1.685,7.68,3.811
45297,-1.685,7.68,3.811
45308,-1.225,6.684,3.811
45317,-1.455,5.382,3.045
45327,-1.225,5.305,2.815
45337,-1.302,5.612,1.666
45348,-1.225,5.918,1.206
45357,-1.455,6.684,0.67
45367,-1.838,7.374,0.44
45377,-1.992,8.293,0.44
45387,-2.145,8.753,0.44
45397,-3.064,9.059,0.517
45408,-3.447,8.906,0.9
45417,-3.447,8.906,0.9
45427,-3.754,8.217,1.436
45437,-3.524,7.91,1.972
45447,-3.447,7.68,2.279
45457,-3.371,7.527,2.585
45468,-3.217,7.527,2.585
45477,-3.141,7.68,2.662
45487,-2.758,7.987,3.045
45497,-3.064,8.293,2.815
45507,-3.217,8.447,2.279
45518,-2.988,8.37,1.743
45527,-2.988,8.37,1.743
45537,-2.911,7.91,1.13
45547,-2.911,7.91,1.13
45558,-3.601,7.527,2.279
45567,-3.601,7.527,2.279
45578,-3.601,7.527,2.279
45587,-2.375,6.531,2.355
45597,-2.145,6.071,2.815
45608,-2.145,6.071,2.815
45617,-3.524,6.301,3.658
45627,-4.213,7.451,3.428
45637,-4.137,8.523,3.275
45647,-3.754,9.902,3.735
45657,-3.677,10.515,4.194
45668,-4.137,10.592,4.118
45677,-5.746,9.519,2.585
45687,-5.669,8.37,1.896
45697,-5.669,8.37,1.896
45707,-5.439,6.991,0.44
45718,-5.439,6.991,0.44
45727,-4.52,6.684,-0.325
45737,-3.83,6.608,-0.249
45747,-0.689,6.071,-0.095
45757,-0.689,6.071,-0.095
45768,2.145,7.451,-1.474
45778,2.145,7.451,-1.474
45787,2.451,8.676,-0.172
45797,2.298,10.822,1.13
45807,2.298,10.822,1.13
45817,0,15.112,1.896
45828,-2.911,17.947,2.126
45837,-4.75,18.866,2.202
45847,-4.75,18.866,2.202
45859,-6.665,17.947,0.287
45867,-7.738,15.036,-5.305
45877,-7.891,9.596,-3.083
45888,-6.359,6.531,3.352
45897,-6.129,3.926,3.428
45907,-6.129,3.926,3.428
45917,-3.83,2.087,3.505
45927,-3.294,5.458,5.42
45937,-4.137,6.838,5.497
45947,-3.907,7.68,4.884
45957,-3.447,8.293,4.807
45967,-2.834,8.447,4.194
45977,-2.528,8.676,3.658
45987,-1.992,8.906,1.819
45997,-1.762,8.83,0.593
46007,-1.225,7.68,-0.478
46017,-1.762,6.761,0.823
46027,-1.762,6.761,0.823
