time,x,y,z
35001,0,-3.658,2.892
35011,0.689,-4.041,3.735
35021,1.685,-4.577,5.344
35031,2.681,-5.497,6.416
35042,3.907,-7.182,7.949
35051,4.597,-8.638,8.332
35061,6.129,-10.86,7.565
35071,6.282,-11.779,7.489
35081,5.363,-12.162,7.336
35091,4.826,-12.162,7.182
35101,3.141,-10.4,5.88
35111,1.685,-7.565,5.42
35121,1.608,-6.646,5.497
35132,1.072,-5.497,5.42
35141,0.229,-5.65,4.807
35152,-1.915,-8.102,5.19
35161,-3.524,-11.779,6.34
35171,-2.298,-18.828,2.892
35181,1.762,-22.736,4.118
35191,7.738,-25.877,7.336
35202,8.657,-22.889,3.275
35211,1.302,-11.32,-4.616
35221,-3.064,-6.799,-5.688
35232,-8.734,-4.271,-1.934
35241,-9.577,-3.735,-0.325
35251,-6.282,-3.811,-1.168
35261,-3.294,-5.037,-4.233
35272,0.689,-7.336,-6.914
35281,2.911,-9.328,-8.217
35292,6.665,-13.771,-8.6
35301,7.968,-15.84,-6.608
35311,7.814,-15.687,-0.172
35321,2.834,-11.55,4.501
35331,1.072,-9.941,3.045
35341,0.153,-9.174,1.589
35352,0.229,-8.255,0.67
35361,0.536,-7.719,-0.708
35371,0.919,-7.872,-0.249
35381,1.685,-8.255,-0.172
35392,1.608,-8.178,0.21
35401,2.604,-8.561,0.134
35411,2.988,-8.945,0.134
35422,3.294,-9.174,0.287
35431,3.754,-9.251,0.287
35441,3.447,-9.021,0.363
35452,3.141,-8.868,0.363
35461,2.604,-8.715,0.593
35471,2.068,-8.332,-0.325
35481,1.992,-8.638,-0.938
35492,1.685,-9.098,-2.241
35501,1.072,-9.328,-2.47
35511,0.919,-9.711,-1.628
35522,0.766,-10.017,-0.402
35531,1.149,-10.094,1.436
35541,1.532,-9.941,2.585
35551,2.298,-10.17,2.049
35562,2.758,-11.09,1.359
35571,3.371,-12.929,0.67
35581,2.988,-13.542,1.13
35592,2.221,-13.695,1.819
35601,1.762,-13.771,1.589
35611,2.604,-13.925,0.747
35621,3.984,-14.155,0.057
35632,5.439,-14.308,-0.019
35641,5.593,-14.155,0.287
35651,5.209,-14.231,0.823
35662,5.133,-14.384,0.67
35671,5.363,-14.308,1.436
35681,5.209,-14.078,2.585
35692,5.133,-13.618,4.041
35701,4.98,-12.392,4.118
35711,5.209,-11.933,2.585
35721,4.826,-11.779,0.593
35732,4.52,-12.775,1.359
35741,3.217,-14.461,4.194
35751,-0.076,-16.223,0.976
35762,-4.673,-16.223,-5.612
35771,-6.359,-16.836,-5.688
35781,-5.209,-16.223,-2.777
35791,-3.141,-15.227,-0.402
35801,-0.076,-14.844,2.126
35811,0.383,-14.308,3.505
35822,2.604,-14.155,4.194
35831,3.524,-13.082,-0.402
35841,3.601,-12.929,-2.47
35852,1.532,-12.239,-2.47
35861,1.532,-11.166,-2.241
35871,1.762,-9.634,-2.011
35881,1.072,-8.945,-1.628
35891,0.536,-8.638,-2.011
35901,-0.153,-7.872,-2.317
35912,0.229,-7.872,-1.934
35921,0.076,-7.412,-2.777
35931,0.229,-6.416,-2.394
35941,-0.229,-6.186,-2.011
35952,-0.383,-6.11,-3.543
35961,-1.685,-5.497,-3.926
35971,-2.221,-4.041,-4.233
35982,-2.528,-3.658,-4.156
35991,-1.992,-2.126,-2.624
36001,-1.915,-1.896,-2.317
36011,-1.685,-1.513,-1.781
36022,-1.455,-1.743,-0.938
36031,-1.379,-1.513,-0.019
36042,-1.149,-1.743,1.283
36051,-0.536,-2.968,3.122
36061,0.842,-5.267,6.493
36072,2.988,-8.868,11.396
