time,x,y,z
60008,-1.072,-13.159,1.666
60018,0.0,-16.07,-0.708
60029,0.996,-18.445,-1.474
60038,3.677,-21.663,-2.7
60048,7.125,-21.433,-3.39
60059,7.125,-21.433,-3.39
60068,0.689,-14.155,1.436
60079,0.689,-14.155,1.436
60088,-1.379,-13.159,1.972
60099,-2.528,-12.775,2.355
60108,-3.141,-12.469,0.44
60118,-3.371,-12.239,-1.551
60129,-2.834,-11.09,-3.85
60138,-2.834,-11.09,-3.85
60148,-2.988,-9.941,-4.616
60159,-2.988,-9.941,-4.616
60168,0.306,-10.17,-5.382
60179,0.306,-10.17,-5.382
60188,1.302,-9.941,-5.382
60198,1.455,-9.404,-5.842
60209,0.996,-7.565,-2.853
60218,0.996,-7.565,-2.853
60228,-0.996,-6.263,-1.934
60239,-0.996,-6.263,-1.934
60248,-1.379,-5.803,-2.087
60259,-1.379,-5.803,-2.087
60268,0.229,-5.344,-1.398
60279,1.608,-4.884,-1.015
60288,2.988,-4.271,-0.708
60298,3.601,-3.964,-0.708
60309,3.371,-3.581,-1.091
60318,2.375,-3.428,-2.087
60328,0.306,-3.581,-2.7
60339,0.306,-3.581,-2.7
60348,-0.459,-3.888,-2.624
60359,-1.302,-4.654,-2.93
60368,-1.685,-5.267,-2.547
60379,-1.685,-6.799,0.057
60388,-2.604,-8.102,3.122
60398,-3.294,-10.86,11.396
60408,-5.133,-14.538,19.671
60419,-6.895,-16.453,16.223
60428,-10.266,-17.296,12.162
60439,-13.408,-16.223,12.162
60448,-12.948,-14.384,10.017
60458,-9.807,-13.542,8.332
60469,-3.294,-10.094,7.182
60479,-3.294,-10.094,7.182
60488,-1.608,-6.11,6.263
60499,-0.996,-3.658,4.884
60508,-1.379,-3.045,0.057
60518,-0.612,-7.336,-1.551
60529,0.612,-20.82,-4.922
60538,0.612,-20.82,-4.922
60548,-2.604,-23.885,11.396
60559,-5.746,-14.384,1.359
60568,1.685,-7.719,-6.991
60579,7.125,-4.884,-6.148
60588,7.125,-4.424,-2.93
60598,7.431,-5.65,-2.7
60608,7.814,-7.719,-3.773
60619,6.818,-10.094,-4.999
60628,5.669,-11.856,-5.842
60638,2.528,-12.546,-9.213
60648,-0.153,-12.239,-9.443
60659,-0.153,-12.239,-9.443
60668,-2.451,-12.239,-4.999
60678,-2.834,-12.852,-3.237
60688,-1.685,-15.227,-3.543
60699,-1.685,-15.074,-3.696
60709,-3.907,-11.933,-4.922
60718,-4.213,-11.166,-6.225
60728,-4.826,-10.783,-6.991
60738,-4.443,-10.324,-3.083
60748,-4.52,-9.787,-1.321
60758,-5.056,-8.715,0.21
60768,-5.056,-8.178,0.67
60778,-4.443,-8.255,1.436
60788,-2.681,-8.255,3.735
60799,-1.072,-8.102,4.731
60808,0.229,-7.565,2.815
60818,-0.076,-7.182,1.13
60828,-1.455,-6.876,-2.011
60838,-1.608,-6.569,-3.313
60848,-1.838,-6.263,-4.079
60858,-2.068,-6.11,-3.926
60869,-2.834,-6.186,-3.313
60878,-3.064,-6.416,-2.7
60888,-3.217,-7.336,-1.934
60898,-3.371,-8.102,-1.934
60908,-3.524,-9.251,-1.628
60918,-3.217,-10.094,-1.474
60928,-2.834,-11.013,-0.938
60939,-2.834,-11.013,-0.938
60948,-0.306,-11.703,1.053
60958,1.149,-12.009,0.363
60968,0.996,-11.856,-1.015
60978,-0.766,-11.933,-2.853
60989,-2.681,-12.009,-3.39
60998,-5.746,-12.239,-3.313
61008,-7.585,-12.699,-2.164
61018,-9.04,-13.542,0.21
61028,-8.734,-14.001,1.206
61039,-7.814,-14.155,0.44
61048,-6.972,-14.155,0.363
61058,-6.665,-14.078,2.126
61068,-7.202,-13.925,5.114
61078,-7.048,-12.852,7.565
61088,-7.278,-11.856,6.033
61098,-7.278,-11.856,6.033
61108,-6.512,-11.243,-1.628
61118,-6.512,-11.243,-1.628
61129,-4.06,-8.485,-1.015
61138,-4.06,-8.485,-1.015
61149,-3.217,-13.542,-2.087
61158,-3.217,-13.542,-2.087
61168,1.379,-17.985,-2.011
61180,1.379,-17.985,-2.011
61188,3.907,-19.058,-2.93
61199,4.826,-18.292,-3.16
61208,1.838,-14.921,-0.708
61219,-0.459,-13.312,0.21
61228,-2.911,-12.469,0.287
61239,-2.911,-12.469,0.287
61248,-2.988,-12.392,-1.091
61259,-2.988,-12.392,-1.091
61268,-1.915,-12.852,-1.321
61278,-0.919,-12.622,-1.398
61290,-0.459,-11.703,-2.317
61299,-0.996,-10.63,-3.007
61309,-0.306,-9.787,-3.773
61318,0.383,-9.634,-4.386
61328,0.919,-9.557,-4.616
61338,0.996,-9.404,-4.539
61348,1.072,-9.021,-4.692
61359,0.459,-8.178,-3.543
61368,-0.383,-7.565,-2.7
61378,-1.608,-6.876,-3.39
61388,-1.532,-6.646,-3.313
61398,-1.838,-5.803,-3.466
61408,-0.919,-5.573,-2.777
61419,0.919,-5.267,-1.857
61428,2.068,-4.884,-1.321
61438,3.754,-4.194,-1.628
61449,3.754,-4.194,-1.628
61458,3.677,-2.585,-2.93
61468,3.064,-2.202,-3.083
61478,2.375,-2.126,-3.237
61488,1.992,-2.509,-3.16
61499,1.225,-3.122,-3.466
61508,0.919,-3.735,-3.543
61518,0.076,-5.19,-1.934
61528,-0.766,-6.876,0.976
61538,-2.528,-11.779,20.284
61548,-6.665,-20.514,25.954
61559,-7.891,-24.191,13.082
61568,-12.411,-22.429,10.017
61578,-15.936,-18.828,11.473
61589,-15.936,-18.828,11.473
61599,-9.5,-13.771,7.719
61608,-9.5,-13.771,7.719
61618,-0.919,-9.328,5.88
61629,-0.919,-9.328,5.88
61639,0.996,-5.344,2.662
61648,0.076,-11.243,0.593
61658,0.689,-14.921,-2.624
61668,-2.298,-18.981,-1.704
61678,-7.661,-20.514,9.251
61689,-7.202,-18.368,7.719
61698,-4.137,-12.852,-1.168
61708,4.367,-6.723,-11.435
61718,5.209,-2.126,-5.458
61728,4.597,-0.976,-2.164
61739,5.822,-2.355,-2.317
61748,5.822,-2.355,-2.317
61758,9.27,-7.949,-4.003
61768,10.956,-11.626,-4.539
61779,6.359,-12.775,-6.071
61788,3.294,-12.622,-8.293
61798,-1.685,-14.078,-4.616
61808,-1.685,-14.078,-4.616
61819,-4.06,-16.223,-3.083
61829,-3.217,-16.836,-3.773
61840,-4.597,-13.005,-4.156
61848,-4.597,-13.005,-4.156
61858,-5.439,-11.856,-7.527
61869,-6.589,-11.243,-4.156
61879,-6.589,-11.243,-4.156
61888,-5.976,-9.251,-0.478
61899,-6.435,-7.106,1.13
61908,-6.435,-7.106,1.13
61918,-6.435,-7.029,2.432
61928,-3.83,-7.412,3.735
61939,-0.383,-6.876,2.432
61948,-0.383,-6.876,2.432
61958,-0.536,-5.956,-0.095
61968,-0.612,-5.956,-5.382
61979,-0.612,-5.956,-5.382
61989,-1.455,-6.186,-5.688
61998,-1.455,-6.186,-5.688
62008,-2.528,-7.336,-1.551
62019,-2.911,-7.719,-0.785
62028,-2.911,-7.719,-0.785
62038,-2.375,-8.715,-0.555
62048,-2.221,-9.787,-0.785
62058,-2.145,-11.013,-0.555
62068,-1.302,-12.699,0.057
62079,-0.383,-13.159,0.44
62088,0.689,-12.699,0.363
62098,0.383,-12.469,-0.249
62108,-2.451,-12.316,-0.938
62119,-4.673,-12.622,-1.168
62128,-7.278,-12.392,-1.628
62138,-8.198,-12.009,-2.011
62148,-9.117,-11.856,-2.011
62158,-9.194,-12.469,-0.632
62168,-8.504,-13.159,0.057
62178,-7.355,-13.848,1.743
62189,-7.125,-13.925,4.348
62198,-7.661,-13.159,7.872
62208,-7.508,-12.239,7.565
62218,-7.278,-12.699,3.122
62228,-6.359,-12.699,-1.015
62238,-4.443,-11.32,-2.853
62248,-3.217,-9.481,-1.245
62258,-3.677,-10.017,0.44
62268,-3.754,-12.009,-0.632
62278,-2.758,-15.074,-2.087
62288,-1.302,-17.219,-2.547
62298,1.072,-18.828,-3.543
62309,2.911,-18.675,-4.309
62318,2.911,-18.675,-4.309
62328,-0.612,-14.155,-1.321
62338,-2.988,-13.082,-0.325
62349,-3.141,-12.929,0.134
62358,-2.681,-13.005,-0.861
62368,-2.451,-13.312,-1.934
62378,-2.451,-13.312,-1.934
62389,-0.229,-12.469,-1.781
62398,-0.306,-11.856,-1.628
62408,-0.383,-10.937,-2.011
62419,-0.153,-10.4,-2.317
62428,0.459,-10.017,-2.777
62438,0.766,-9.787,-3.313
62448,0.766,-9.481,-5.075
62458,0.996,-9.404,-5.229
62469,0.842,-8.408,-6.378
62478,0.383,-7.872,-5.765
62488,-0.153,-6.953,-3.237
62499,-1.685,-6.569,-3.083
62508,-2.911,-6.263,-2.394
62518,-2.681,-6.11,-2.241
62528,0.0,-6.11,-2.777
62538,1.915,-5.88,-2.547
62549,4.443,-5.19,-1.628
62558,4.75,-4.041,-2.394
62568,3.601,-3.352,-3.007
62578,2.068,-2.739,-3.543
62588,1.608,-2.739,-3.773
62599,1.225,-2.815,-3.926
62608,1.072,-3.045,-3.85
62618,1.072,-3.045,-3.85
62628,0.919,-4.731,-2.47
62639,0.076,-6.569,0.363
62648,0.076,-6.569,0.363
62658,-0.919,-9.711,10.477
62668,-5.746,-17.449,23.272
62679,-9.347,-22.353,14.538
62688,-13.178,-22.276,10.707
62698,-16.319,-17.602,9.787
62708,-13.408,-14.461,8.638
62718,-6.742,-12.546,7.565
