time,x,y,z
45010,3.447,-12.852,-0.555
45019,4.06,-16.07,-3.543
45030,4.06,-16.07,-3.543
45039,2.145,-16.376,-2.241
45049,2.145,-16.376,-2.241
45060,1.532,-15.84,4.348
45069,1.532,-15.84,4.348
45079,1.992,-15.38,4.424
45089,1.992,-15.38,4.424
45100,-0.612,-13.848,0.363
45109,-0.612,-13.848,0.363
45119,-2.145,-12.086,-0.402
45130,-2.145,-12.086,-0.402
45139,-2.528,-11.166,-0.785
45149,-1.762,-10.017,-0.172
45159,0.076,-8.715,1.053
45170,0.383,-8.178,0.67
45179,1.072,-7.565,0.21
45189,1.379,-7.182,-0.019
45199,1.838,-6.876,-0.325
45209,1.838,-6.493,-1.091
45219,2.145,-5.803,-1.474
45229,2.451,-5.497,-1.551
45240,2.681,-5.267,-2.011
45249,2.758,-4.96,-1.781
45259,2.451,-4.501,-1.398
45269,2.068,-4.271,-1.398
45279,1.762,-4.118,-1.091
45290,1.532,-4.194,-0.632
45299,1.302,-4.348,-0.325
45309,1.072,-4.731,0.517
45319,0.689,-5.19,1.436
45330,-0.229,-6.11,3.811
45339,-0.996,-6.723,5.573
45349,-0.996,-6.723,5.573
45360,-4.903,-9.557,9.251
45369,-4.903,-9.557,9.251
45379,-10.573,-12.086,8.332
45389,-10.573,-12.086,8.332
45400,-10.879,-13.082,7.719
45409,-10.879,-13.082,7.719
45419,-5.899,-12.546,6.799
45430,-5.899,-12.546,6.799
45439,-4.673,-11.473,6.876
45449,-4.367,-10.4,6.799
45460,-3.907,-7.719,5.037
45469,-3.907,-7.719,5.037
45479,-2.068,-6.033,3.658
45490,-0.766,-7.489,3.428
45499,0.766,-11.09,2.432
45510,0.766,-11.09,2.432
45519,2.681,-14.921,3.581
45530,2.681,-14.921,3.581
45539,2.298,-14.921,3.735
45549,1.992,-14.767,4.194
45559,1.072,-14.767,8.561
45569,1.072,-14.767,8.561
45580,-0.306,-11.703,-3.696
45589,3.141,-4.424,-8.447
45600,0.919,-3.275,-1.321
45610,-3.447,-7.412,-1.934
45619,-5.439,-14.078,-5.229
45630,-2.911,-16.223,-2.93
45639,0.229,-14.308,2.202
45649,0.229,-14.308,2.202
45660,1.149,-11.166,3.045
45669,0.459,-9.481,-2.087
45679,2.681,-9.481,-1.934
45690,2.988,-10.247,-0.095
45699,2.528,-10.783,0.517
45710,1.225,-10.783,0.287
45719,0.153,-10.477,-0.095
45730,-1.455,-10.17,-0.402
45739,-2.604,-9.864,-0.478
45749,-3.907,-9.481,-0.861
45767,-4.213,-9.328,-0.938
45773,-4.06,-9.021,-0.095
45780,-3.907,-9.021,-0.095
45789,-3.907,-9.021,-0.095
45799,-2.604,-9.251,0.593
45809,-1.685,-9.634,1.13
45820,-1.608,-9.711,0.976
45829,-1.992,-9.711,0.517
45839,-2.375,-9.634,0.44
45849,-2.298,-9.481,0.287
45859,-2.298,-9.404,0.21
45870,-2.451,-9.481,0.21
45879,-2.604,-9.481,0.363
45889,-2.911,-9.634,0.287
45899,-3.217,-9.634,-0.095
45911,-3.217,-9.634,-0.095
45919,-3.141,-9.557,-0.249
45929,-3.141,-9.557,-0.249
45940,-2.834,-9.557,-0.555
45949,-2.834,-9.557,-0.555
45959,-2.528,-8.945,-1.015
45969,-2.375,-9.021,-1.015
45979,-2.145,-9.404,-1.474
45990,-2.221,-9.787,-1.857
45999,-2.375,-10.094,-2.164
46010,-2.681,-10.17,-2.087
46019,-2.681,-10.17,-2.087
46029,-3.371,-9.941,-1.474
46039,-3.83,-10.247,-0.938
46050,-3.984,-10.477,-0.249
46059,-4.137,-10.783,0.823
46069,-4.443,-10.783,1.206
46079,-4.597,-10.477,1.13
46090,-4.903,-10.247,1.13
46099,-5.209,-10.477,1.053
46109,-4.29,-10.86,0.976
46119,-2.604,-11.626,1.972
46130,-2.375,-12.239,3.964
46139,-1.532,-12.852,4.731
46152,0.229,-13.925,5.19
46159,0.919,-14.538,6.033
46170,0.919,-14.538,6.033
