time,x,y,z
31004,-5.899,7.987,0.21
31014,-5.056,7.987,0.747
31025,-4.443,8.37,0.134
31034,-3.524,9.596,-2.087
31044,-2.834,11.435,-4.156
31056,-3.294,15.495,-6.914
31065,-3.601,17.794,-8.293
31074,-3.907,18.407,-7.834
31085,-2.528,17.564,-7.221
31097,-0.842,15.112,-8.063
31104,-0.229,13.197,-8.6
31114,-1.379,12.124,-8.37
31124,-0.996,13.044,-7.68
31134,-1.379,14.653,-6.684
31144,-1.762,14.499,-5.842
31155,-1.685,12.737,-4.539
31164,-1.379,11.281,-3.696
31174,-1.149,9.672,-2.624
31185,-1.072,8.906,-2.087
31194,-0.842,8.14,-1.321
31204,-0.842,8.14,-1.321
31215,-0.842,8.14,-1.321
31224,-0.842,8.14,-1.321
31234,-0.842,8.14,-1.321
31244,-0.842,8.14,-1.321
31255,-0.842,8.14,-1.321
31264,-0.842,8.14,-1.321
31276,-0.842,8.14,-1.321
31284,1.225,3.313,-0.708
31297,1.072,3.466,-0.861
31305,0.459,4.079,-0.708
31317,0.459,4.079,-0.708
31325,0.459,4.079,-0.708
31338,-0.459,6.761,-0.708
31346,-0.612,8.37,-1.398
31355,-0.536,9.826,-1.781
31364,-0.536,9.826,-1.781
31374,-0.306,10.668,-1.857
31385,-0.306,10.668,-1.857
31394,-1.149,11.205,-2.241
31404,-1.379,11.358,-2.47
31414,-1.992,11.588,-3.313
31430,-3.83,12.431,-2.241
31434,-3.83,12.431,-2.241
31444,-4.06,11.741,-2.777
31454,-3.984,11.205,-4.156
31467,-2.758,10.362,-4.539
31474,-2.221,9.672,-4.079
31486,-2.145,9.059,-3.62
31494,-2.145,9.059,-3.62
31504,-1.838,8.14,-3.39
31515,-1.838,8.063,-3.466
31524,-1.838,7.987,-3.696
31535,-1.608,7.604,-3.773
31545,-1.455,7.374,-3.543
31555,-1.379,7.144,-3.313
31564,-1.302,7.067,-3.083
31574,-1.225,7.067,-2.93
31587,-1.072,7.067,-2.853
31596,-0.996,7.067,-2.7
31605,-0.766,7.067,-2.547
31614,-0.459,7.067,-2.547
31624,-0.153,7.067,-2.394
31635,0.076,7.067,-2.394
31644,0.076,6.991,-2.394
31654,0.076,6.914,-2.241
31665,-0.229,6.761,-2.164
31680,-0.459,6.761,-2.164
31684,-0.766,6.914,-2.47
31696,-0.996,6.991,-2.47
31705,-1.379,7.297,-3.16
