time,x,y,z
16,0.20015,0.42476,0.13843
66,0.61028,-0.61388,0.29289
116,0.10001,-0.67992,0.35574
165,-0.19826,-0.80457,1.39864
216,0.32053,-0.33585,1.09505
269,-0.16098,-0.47966,0.81807
315,-0.00226,-0.00134,0.19170
365,0.44835,0.00931,-0.05757
415,0.56766,-0.58405,-0.28128
465,-0.10771,-0.19949,-0.27382
515,-0.01077,-0.71402,-1.19847
565,0.10747,0.18294,-0.43787
615,-0.23448,0.38747,0.04256
665,0.01799,-0.03970,-0.20457
714,-0.16098,-0.08763,0.00954
766,0.01160,0.02740,-0.12256
815,0.17245,-0.09828,-0.13428
865,-0.10132,-0.00774,-0.01602
916,0.04675,-0.22612,-0.13107
966,0.00734,0.14139,-0.00537
1016,-0.06190,-0.04396,-0.10870
1065,-0.05978,-0.02159,-0.10338
1116,-0.04700,0.12434,-0.12575
1166,0.16393,-0.01733,-0.20032
1215,0.07977,0.03700,-0.22908
1270,-0.19400,-0.26234,-0.14705
1316,0.26193,0.21596,-0.19286
1365,-0.28455,-0.28046,-0.19713
1415,-0.03314,0.40451,0.09050
1465,-0.10878,-0.07912,-0.19606
1516,-0.18015,-0.02585,0.15654
1565,-0.55725,0.25858,0.08836
1615,0.32265,0.33315,0.25880
1665,0.09361,0.20319,-0.03201
1715,-0.15991,-0.09723,-0.06503
1765,0.07657,0.17548,0.03937
1815,-0.15140,0.34912,0.19490
1865,-0.93010,-0.21866,0.27052
1915,0.76048,-0.05887,0.17998
1964,0.68910,-0.55635,0.45695
2015,0.16180,-0.52333,0.43245
2065,0.70828,-0.50308,0.72113
2115,0.17564,0.23514,0.88092
2165,0.12451,0.14352,1.13339
2216,0.36526,-2.69754,0.92033
2265,-1.02704,-5.55777,1.22394
2319,-2.94664,-4.21234,2.72702
2365,-2.42146,-3.65947,5.27834
2415,0.63904,-3.28023,1.24631
2466,0.76686,-5.00171,1.67773
2516,1.25795,-4.68425,1.78107
2565,-0.46031,-2.93723,3.70175
2616,-0.41664,-2.37796,3.36406
2667,-0.41664,-2.37796,3.36406
2715,-1.26352,1.52092,1.72249
2765,-1.33276,2.37633,1.85031
2815,1.04277,1.14807,0.66788
2865,1.62334,1.36751,2.09532
2915,2.64706,0.18614,0.60396
2965,3.53656,-1.04530,-0.00858
3015,3.17117,-1.52681,-0.59766
3065,0.70615,-2.12656,-0.43254
3115,-0.41878,-0.16859,-0.78516
3166,0.60495,0.17548,0.49956
3216,0.26939,-0.22826,1.01088
3266,-1.04515,-0.40082,1.49557
3316,-0.28348,-1.51828,1.31129
3372,-0.62970,-0.94943,1.37094
3416,-0.09920,0.21703,-0.07462
3465,-0.09492,-0.83438,0.25241
3515,0.07764,-0.56381,-0.15877
3565,0.39082,0.20638,-0.49007
3615,-0.24194,0.89667,0.43352
3665,-0.06830,0.59839,-0.09592
3715,-0.86511,1.97578,1.75551
3766,-1.01425,0.57495,0.70409
3815,-1.32532,0.68893,1.00983
3866,-1.54796,-0.08763,2.66737
3916,-1.75249,-0.18031,0.94377
3966,-2.01561,-0.70549,-2.11459
4015,-1.53197,-1.48314,-0.34413
4065,-0.17482,-1.27327,-0.91830
4115,0.95222,-0.27618,0.35574
4166,0.70508,0.27136,0.45056
4215,0.23317,-0.73318,1.94939
4265,-1.05260,-0.91855,0.87880
4316,-0.59029,-0.17499,-1.12604
4368,0.83611,1.79362,-1.96759
4415,0.21719,-0.09190,-2.08264
4465,0.41533,0.52596,0.72220
4515,0.90109,1.58270,0.53258
4565,0.85315,-0.89511,1.14085
4615,0.97673,-0.34436,1.20157
4665,0.61774,-0.28258,0.41647
4716,0.91388,-0.11214,0.66042
4765,0.80629,0.70493,0.78186
4816,0.83611,0.53554,0.98532
4866,0.53996,0.57709,0.58904
4916,-0.06084,0.82317,-0.18221
4966,-0.03741,1.41226,-0.25465
5015,-1.43503,-0.20375,-1.04401
5065,-2.66010,0.90945,-1.56599
5115,-1.94530,0.39493,-0.86931
5165,-1.69070,0.32036,-1.04294
5215,-0.98869,-0.99312,-1.47224
5266,-0.63928,-1.79739,-1.16545
5317,-0.18654,-2.04240,-0.84267
5377,0.52505,-1.68021,-0.31963
5416,1.02040,-0.78220,0.53152
5465,0.85954,-0.80562,1.14937
5515,-0.23874,-1.54066,0.05853
5565,-0.45499,-0.91641,-0.75958
5615,1.05981,0.08493,-0.57956
5665,-0.03741,0.66231,-0.39420
5715,0.31946,0.09132,0.54750
5765,0.97459,-0.14516,1.69905
5816,1.84279,-0.18990,0.35362
5867,1.37833,-0.75555,0.54430
5917,0.75514,-0.39656,0.27585
5967,1.14929,-0.15262,0.56880
6015,0.95222,0.65059,0.85855
6067,0.97246,0.48122,0.88306
6116,0.19695,0.31078,0.17572
6165,-0.05658,0.75711,-0.20245
6215,-0.90987,0.30225,-0.35478
6265,-2.27234,0.40239,-1.53935
6315,-2.04224,1.18855,-1.28902
6368,-1.55754,-0.76408,-0.93109
6415,-1.02704,-0.85249,-1.34122
6465,-0.44859,-1.26476,-1.52870
6515,0.12558,-2.08714,-1.53296
6565,0.66780,-2.22989,-1.17824
6615,0.86700,-1.80698,-0.38568
6665,0.86700,-1.31696,0.53365
6715,0.34502,-2.03706,1.00555
6765,-0.14500,-2.00404,0.00954
6815,0.09682,-0.97820,-0.82669
6865,1.42094,-0.21973,-0.94495
6915,0.68803,-0.90363,-0.02988
6964,-0.20358,-0.12704,0.34297
7015,1.56474,-1.29884,1.48174
7065,1.63826,-1.11136,-0.16409
7115,1.28992,-1.85065,0.44736
7165,0.62199,-0.59576,0.23750
7215,1.12906,-0.81096,0.41966
7265,0.95329,0.33421,0.50595
7315,0.96394,0.07428,0.71687
7374,0.75728,0.48228,0.57838
7417,0.37485,0.60052,-0.00432
7465,-0.19081,0.89241,-0.11296
7515,-1.66727,0.22128,-1.13029
7565,-2.28725,0.30971,-1.68423
7615,-1.93465,0.03912,-0.77023
7665,-1.74503,-0.02052,-0.90872
7716,-1.27205,-1.23918,-1.37849
7766,-0.61266,-1.67702,-1.28050
7816,-0.08427,-1.90178,-0.95453
7866,0.52185,-1.31270,-0.34732
7916,0.68591,-0.48924,0.74883
7967,-0.04274,-0.72572,1.31448
8016,-0.34740,-1.65677,0.25880
8066,-0.52956,-0.87700,-0.94495
8115,0.99590,-0.93239,-1.19315
8165,1.39537,0.99786,-0.35371
8215,0.24702,1.49535,-0.44640
8265,1.45396,0.83275,1.66283
8316,1.57008,-1.34998,0.79784
8368,0.94370,-0.27832,0.77014
8415,0.56554,-1.13799,0.55922
8465,1.04491,0.31822,0.27266
8515,0.97353,0.36723,0.46547
8565,0.92453,0.49187,0.74457
8615,0.98631,0.55579,0.68597
8665,0.16074,0.65059,0.29929
8716,0.50587,1.10652,-0.45065
8765,-0.92584,0.31290,-0.85439
8815,-2.86462,0.58667,-1.60541
8864,-2.07739,1.68497,-0.28342
8915,-1.71947,-0.22719,-0.79581
8964,-1.33064,-0.75555,-1.28369
9014,-0.85979,-1.67702,-1.10153
9065,-0.62010,-2.46211,-0.83841
9115,0.20334,-1.65038,-0.30684
9165,0.98311,-0.66075,0.33444
9215,0.83717,-1.32867,1.28146
9266,-0.85660,-1.66209,0.23750
9316,-0.43369,-0.60536,-0.68822
9372,0.79243,0.16270,-0.76704
9415,-0.41878,1.34941,-0.74467
9465,0.57193,-0.93559,0.60928
9515,0.56340,0.17761,1.22501
9566,1.46675,-1.09111,0.38878
9614,1.30589,-1.05170,0.46121
9665,0.93304,-0.88658,0.25455
9714,1.10881,-0.19310,0.43884
9765,0.97673,0.32675,0.72540
9815,1.22813,-0.07166,0.73285
9866,0.31732,0.25964,0.05960
9916,0.12665,0.77736,-0.40485
9965,-1.13676,0.12434,-0.65092
10016,-1.94743,0.94247,-1.36998
10067,-1.96021,0.32143,-0.45172
10118,-1.50002,0.62396,-0.85971
10166,-1.14209,-1.28926,-1.14627
10216,-0.73090,-1.30736,-1.16971
10268,-0.58601,-2.30551,-0.85439
10316,-0.00012,-1.95824,-0.38461
10373,0.83185,-0.79604,0.33018
10415,0.64650,-0.88658,1.07800
10465,-0.76073,-1.71750,0.48891
10515,-0.41451,-0.53398,-0.71591
10565,-0.20891,-1.73241,-1.11218
10615,1.46675,1.30040,-0.42722
10665,-1.31039,0.91690,-0.36543
10716,2.26889,-2.45572,1.13232
10765,0.75835,0.45778,0.55283
10816,1.45183,-1.47887,0.34084
10867,0.94797,-0.53185,0.32486
10916,0.97246,-0.65222,0.25880
10967,1.08432,0.14246,0.30035
11017,1.21960,0.41837,0.49849
11066,1.29417,-0.17924,0.73285
11116,0.57831,0.39706,0.27585
11167,0.29709,1.29082,-0.34732
11216,-0.20891,0.78162,-0.26424
11266,-1.97086,0.41197,-1.11218
11316,-2.46408,1.81174,-0.74040
11367,-2.21693,0.32143,-0.54866
11425,-1.71519,-0.34969,-0.72975
11467,-1.44142,-0.76408,-1.13988
11515,-1.25714,-2.07222,-1.29648
11565,-0.69788,-2.50046,-0.98862
11615,-0.07683,-1.84000,-0.63281
11665,0.59749,-0.83652,0.19809
11715,0.73172,-1.50658,0.80849
11765,-0.46884,-1.60031,0.42819
11816,-0.31224,-1.08899,-0.67755
11866,0.91493,-0.11960,-0.61790
11916,-0.71599,2.29536,-1.32098
11966,1.41455,-2.12762,0.82979
12017,0.36526,-0.24530,0.78079
12067,1.36768,-1.57901,-0.06929
12116,1.34637,-1.19551,0.39197
12167,1.14185,-0.11107,0.10115
12217,1.13332,-0.12811,0.24283
12266,1.12585,0.57176,0.46867
12315,1.34105,0.29053,0.57945
12366,0.92772,0.54300,0.24390
12424,0.23317,1.19067,-0.23654
12466,-0.27815,0.98082,-0.38141
12515,-2.01880,0.56963,-1.23149
12565,-2.44810,0.95313,-0.82457
